field,product,issue,company,state,submitted_via,tags,timely_response,company_response_to_consumer,has_narrative,relief_response_binary
product,1.0,0.5836,0.3358,0.0505,0.1027,0.0677,0.0925,0.1653,0.1263,0.2706
issue,0.5836,1.0,0.2572,0.042,0.1063,0.0911,0.0833,0.2093,0.1847,0.2637
company,0.3358,0.2572,1.0,0.0735,0.0859,0.1109,0.1126,0.2636,0.1675,0.3799
state,0.0505,0.042,0.0735,1.0,0.0979,0.0646,0.0195,0.0376,0.1006,0.0463
submitted_via,0.1027,0.1063,0.0859,0.0979,1.0,0.1113,0.0104,0.0308,0.4993,0.0202
tags,0.0677,0.0911,0.1109,0.0646,0.1113,1.0,0.0,0.0269,0.0851,0.0273
timely_response,0.0925,0.0833,0.1126,0.0195,0.0104,0.0,1.0,0.3656,0.0048,0.0252
company_response_to_consumer,0.1653,0.2093,0.2636,0.0376,0.0308,0.0269,0.3656,1.0,0.0438,1.0
has_narrative,0.1263,0.1847,0.1675,0.1006,0.4993,0.0851,0.0048,0.0438,1.0,0.0254
relief_response_binary,0.2706,0.2637,0.3799,0.0463,0.0202,0.0273,0.0252,1.0,0.0254,1.0
