company,count,percent
JPMORGAN CHASE & CO.,92441,7.17
WELLS FARGO & COMPANY,87155,6.76
"BANK OF AMERICA, NATIONAL ASSOCIATION",85088,6.6
CAPITAL ONE FINANCIAL CORPORATION,70529,5.47
"CITIBANK, N.A.",66000,5.12
"Block, Inc.",59072,4.58
SYNCHRONY FINANCIAL,33533,2.6
AMERICAN EXPRESS COMPANY,30731,2.38
"Paypal Holdings, Inc",28600,2.22
U.S. BANCORP,27497,2.13
NAVY FEDERAL CREDIT UNION,27306,2.12
"Early Warning Services, LLC",23693,1.84
"EQUIFAX, INC.",20527,1.59
"Bread Financial Holdings, Inc.",19421,1.51
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",19292,1.5
PNC Bank N.A.,18915,1.47
Chime Financial Inc,18913,1.47
Experian Information Solutions Inc.,18339,1.42
TD BANK US HOLDING COMPANY,17843,1.38
DISCOVER BANK,17734,1.38
TRUIST FINANCIAL CORPORATION,15088,1.17
"Shellpoint Partners, LLC",13510,1.05
BARCLAYS BANK DELAWARE,13113,1.02
Mr. Cooper Group Inc.,12936,1.0
Ocwen Financial Corporation,11991,0.93
ALLY FINANCIAL INC.,11837,0.92
GOLDMAN SACHS BANK USA,11193,0.87
UNITED SERVICES AUTOMOBILE ASSOCIATION,11067,0.86
"CITIZENS FINANCIAL GROUP, INC.",10556,0.82
"SELECT PORTFOLIO SERVICING, INC.",9140,0.71
"Coinbase, Inc.",8913,0.69
FIFTH THIRD FINANCIAL CORPORATION,8422,0.65
Freedom Mortgage Company,6902,0.54
Comerica,6457,0.5
"LoanCare, LLC",5826,0.45
REGIONS FINANCIAL CORPORATION,5640,0.44
"SANTANDER HOLDINGS USA, INC.",5426,0.42
"HUNTINGTON NATIONAL BANK, THE",5355,0.42
M&T BANK CORPORATION,5343,0.41
Specialized Loan Servicing Holdings LLC,5301,0.41
KEYCORP,5097,0.4
Santander Consumer USA Holdings Inc.,4786,0.37
CREDIT ACCEPTANCE CORPORATION,4746,0.37
Netspend Corporation,4691,0.36
BMO BANK NATIONAL ASSOCIATION,4642,0.36
"Westlake Services, LLC",4555,0.35
"CARRINGTON MORTGAGE SERVICES, LLC",4112,0.32
"SOFI TECHNOLOGIES, INC.",4068,0.32
HSBC NORTH AMERICA HOLDINGS INC.,3963,0.31
"Rocket Mortgage, LLC",3862,0.3
Ditech Financial LLC,3649,0.28
NATIONSTAR MORTGAGE LLC,3599,0.28
ROBINHOOD MARKETS INC.,3550,0.28
HYUNDAI CAPITAL AMERICA,3538,0.27
BBVA FINANCIAL CORPORATION,3481,0.27
"SUNTRUST BANKS, INC.",3423,0.27
"PENNYMAC LOAN SERVICES, LLC.",3392,0.26
PENTAGON FEDERAL CREDIT UNION,3377,0.26
OneMain Finance Corporation,3327,0.26
TOYOTA MOTOR CREDIT CORPORATION,3176,0.25
"Affirm Holdings, Inc",3149,0.24
"CLGF Holdco 1, LLC",3148,0.24
Incomm Holdings Inc.,2985,0.23
"WESTERN UNION COMPANY, THE",2973,0.23
"Fay Servicing, LLC",2961,0.23
"General Motors Financial Company, Inc.",2866,0.22
RUSHMORE LOAN MANAGEMENT SERVICES LLC,2618,0.2
Bridgecrest Acceptance Corporation,2472,0.19
"LAKEVIEW LOAN SERVICING, LLC",2387,0.19
"Caliber Home Loans, Inc.",2295,0.18
Atlanticus Services Corporation,2241,0.17
Selene Holdings LLC,2222,0.17
"Flagstar Bank, N.A.",2190,0.17
"Exeter Finance, LLC.",2119,0.16
FIRST NATIONAL BANK OF OMAHA,2076,0.16
"LD Holdings Group, LLC",2046,0.16
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",2007,0.16
Conduent Incorporated,2000,0.16
BB&T CORPORATION,1980,0.15
NISSAN MOTOR ACCEPTANCE COMPANY LLC,1926,0.15
"ENOVA INTERNATIONAL, INC.",1919,0.15
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,1897,0.15
Synovus Bank,1863,0.14
RoundPoint Mortgage Servicing LLC,1860,0.14
"SANTANDER BANK, NATIONAL ASSOCIATION",1852,0.14
"Credit Karma, LLC",1835,0.14
AMERICAN HONDA FINANCE CORP,1828,0.14
FISERV FINXACT CORE,1744,0.14
"Dovenmuehle Mortgage, Inc.",1727,0.13
TransferWise Ltd,1668,0.13
MoneyLion Inc.,1641,0.13
"AmeriHome Mortgage Company, LLC",1594,0.12
"Fidelity National Information Services, Inc. (FNIS)",1575,0.12
"UPGRADE, INC.",1543,0.12
BANK OF THE WEST,1540,0.12
"United Shore Financial Services, LLC",1531,0.12
NEW YORK COMMUNITY BANCORP INC,1483,0.12
MIDFIRST BANK,1405,0.11
FinCo Services Inc DBA Current,1382,0.11
Self Financial Inc.,1364,0.11
"Avant Holding Company, Inc.",1335,0.1
Winklevoss Exchange LLC,1286,0.1
AMERISAVE MORTGAGE CORPORATION,1285,0.1
"American Credit Acceptance, LLC",1284,0.1
"BSI Financial Holdings, Inc.",1232,0.1
"PLANET HOME LENDING, LLC",1162,0.09
"Continental Finance Company, LLC",1149,0.09
CCF Intermediate Holdings LLC,1140,0.09
"WEBSTER BANK, NATIONAL ASSOCIATION",1130,0.09
TCF NATIONAL BANK,1117,0.09
FORD MOTOR CREDIT CO.,1093,0.08
Mercedes Benz Financial Services,1086,0.08
"FIRST CITIZENS BANCSHARES, INC.",1035,0.08
BANCO POPULAR DE PUERTO RICO,1021,0.08
"BMW Financial Services NA, LLC",1013,0.08
CrossCountry Mortgage LLC,1002,0.08
"CarMax, Inc.",1000,0.08
Blackhawk Network Holdings Inc.,999,0.08
Global Lending Services LLC,990,0.08
