month_received,count
2017-01,8496
2017-02,7784
2017-03,8672
2017-04,7172
2017-05,6999
2017-06,7036
2017-07,6993
2017-08,7209
2017-09,6848
2017-10,6807
2017-11,6816
2017-12,6798
2018-01,8220
2018-02,7078
2018-03,7653
2018-04,8401
2018-05,7389
2018-06,6695
2018-07,6997
2018-08,7128
2018-09,6333
2018-10,7292
2018-11,6206
2018-12,6296
2019-01,6530
2019-02,6321
2019-03,7381
2019-04,7166
2019-05,7215
2019-06,7020
2019-07,7476
2019-08,7783
2019-09,7034
2019-10,7776
2019-11,6790
2019-12,6652
2020-01,7255
2020-02,7019
2020-03,7586
2020-04,9004
2020-05,8656
2020-06,9691
2020-07,9932
2020-08,8904
2020-09,8937
2020-10,8754
2020-11,7661
2020-12,8846
2021-01,9022
2021-02,9267
2021-03,11528
2021-04,10222
2021-05,10198
2021-06,9179
2021-07,8786
2021-08,8937
2021-09,8963
2021-10,9446
2021-11,9064
2021-12,9363
2022-01,10460
2022-02,10540
2022-03,11557
2022-04,11196
2022-05,9432
2022-06,9628
2022-07,10386
2022-08,11764
2022-09,11014
2022-10,10632
2022-11,10321
2022-12,11753
2023-01,16969
2023-02,12870
2023-03,13909
2023-04,11432
2023-05,12951
2023-06,12990
2023-07,13768
2023-08,15017
2023-09,13535
2023-10,14834
2023-11,13891
2023-12,13794
2024-01,14920
2024-02,14477
2024-03,16342
2024-04,16420
2024-05,16661
2024-06,14326
2024-07,15810
2024-08,17813
2024-09,16726
2024-10,17640
2024-11,16805
2024-12,17782
2025-01,83161
2025-02,22151
2025-03,18837
2025-04,19299
2025-05,20671
2025-06,20500
2025-07,23278
2025-08,22779
2025-09,22687
2025-10,23439
2025-11,21357
2025-12,25821
