issue,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
Other transaction problem,67507,53405,0.7911031448590516,79.11,53.28,25.83
Problem with a credit reporting company's investigation into an existing problem,10734,7816,0.728153530836594,72.82,53.28,19.54
Trouble accessing funds in your mobile or digital wallet,4844,3309,0.6831131296449215,68.31,53.28,15.03
Unexpected or other fees,6873,4523,0.6580823512294486,65.81,53.28,12.53
Other service problem,5049,3294,0.6524064171122995,65.24,53.28,11.96
Problem caused by your funds being low,26945,17409,0.6460938949712377,64.61,53.28,11.33
Confusing or misleading advertising or marketing,1115,719,0.6448430493273543,64.48,53.28,11.2
Problem with additional add-on products or services,2818,1812,0.6430092264017033,64.3,53.28,11.02
"Advertising and marketing, including promotional offers",16331,10410,0.6374380013471312,63.74,53.28,10.46
Confusing or missing disclosures,4109,2589,0.6300803115113166,63.01,53.28,9.73
Can't contact lender or servicer,1106,679,0.6139240506329114,61.39,53.28,8.11
Unauthorized transactions or other transaction problem,13223,8095,0.612190879528095,61.22,53.28,7.94
Charged fees or interest you didn't expect,13450,8196,0.609368029739777,60.94,53.28,7.66
Money was not available when promised,10872,6622,0.6090875643855777,60.91,53.28,7.63
Fraud or scam,39213,23854,0.6083186698288833,60.83,53.28,7.55
Problem with the payoff process at the end of the loan,4842,2916,0.6022304832713755,60.22,53.28,6.94
Wrong amount charged or received,1608,964,0.599502487562189,59.95,53.28,6.67
Trouble using your card,13900,8319,0.5984892086330935,59.85,53.28,6.57
Closing on a mortgage,17164,10260,0.5977627592635749,59.78,53.28,6.5
Received a loan you didn't apply for,1342,793,0.5909090909090909,59.09,53.28,5.81
Problems at the end of the loan or lease,14145,8266,0.5843761046306115,58.44,53.28,5.16
Problem with customer service,2328,1357,0.5829037800687286,58.29,53.28,5.01
Fees or interest,36225,21053,0.5811732229123533,58.12,53.28,4.84
Problem with a lender or other company charging your account,35346,20340,0.5754540824987269,57.55,53.28,4.27
Managing the loan or lease,28798,16569,0.5753524550315994,57.54,53.28,4.26
"Other features, terms, or problems",40355,22939,0.5684301821335647,56.84,53.28,3.56
Repossession,9915,5581,0.5628845184064548,56.29,53.28,3.01
Struggling to pay your loan,17230,9694,0.5626233313987231,56.26,53.28,2.98
Closing your account,25617,14370,0.5609556154116407,56.1,53.28,2.82
Getting a loan or lease,12052,6658,0.5524394291403917,55.24,53.28,1.96
