field_1,field_2,correlation,absolute_correlation
received_to_sent_lag_days,received_to_sent_lag_days_clipped,0.7905,0.7905
narrative_length,has_narrative,0.5172,0.5172
year_received,has_narrative,0.1048,0.1048
received_to_sent_lag_days_clipped,has_narrative,-0.0548,0.0548
received_to_sent_lag_days_clipped,year_received,-0.0506,0.0506
has_narrative,received_to_sent_lag_days,-0.038,0.038
received_to_sent_lag_days,timely_response_binary,-0.0365,0.0365
timely_response_binary,received_to_sent_lag_days_clipped,-0.0352,0.0352
year_received,received_to_sent_lag_days,-0.031,0.031
relief_response_binary,received_to_sent_lag_days_clipped,-0.03,0.03
timely_response_binary,year_received,0.0275,0.0275
relief_response_binary,has_narrative,-0.0254,0.0254
timely_response_binary,relief_response_binary,0.0252,0.0252
received_to_sent_lag_days,relief_response_binary,-0.0241,0.0241
received_to_sent_lag_days_clipped,narrative_length,-0.021,0.021
narrative_length,received_to_sent_lag_days,-0.0134,0.0134
narrative_length,timely_response_binary,-0.0078,0.0078
timely_response_binary,has_narrative,-0.0049,0.0049
relief_response_binary,year_received,0.0047,0.0047
relief_response_binary,narrative_length,-0.0044,0.0044
year_received,narrative_length,0.0041,0.0041
