issue,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
Problem with a company's investigation into an existing problem,26792,12399,0.46278739922364887,46.28,19.22,27.06
Fees or interest,36225,14293,0.3945617667356798,39.46,19.22,20.24
Problem with a purchase shown on your statement,90135,31060,0.34459421978143895,34.46,19.22,15.24
Billing disputes,1405,465,0.3309608540925267,33.1,19.22,13.88
Trouble using the card,12625,4035,0.3196039603960396,31.96,19.22,12.74
Getting a credit card,46847,14680,0.3133605140137042,31.34,19.22,12.12
Incorrect information on your report,52718,16401,0.31110816040062217,31.11,19.22,11.89
Problem with a credit reporting company's investigation into an existing problem,10734,3244,0.30221725358673374,30.22,19.22,11.0
"Advertising and marketing, including promotional offers",16331,4776,0.2924499418284245,29.24,19.22,10.02
"Other features, terms, or problems",40355,11376,0.281898153884277,28.19,19.22,8.97
Problem getting a card or closing an account,6644,1710,0.25737507525586995,25.74,19.22,6.52
Problem when making payments,34722,8875,0.25560163585046947,25.56,19.22,6.34
Deposits and withdrawals,1720,437,0.25406976744186044,25.41,19.22,6.19
"Account opening, closing, or management",3271,820,0.25068786303882606,25.07,19.22,5.85
Problem with a purchase or transfer,10190,2323,0.22796859666339547,22.8,19.22,3.58
Problem caused by your funds being low,26945,5919,0.21966969753200966,21.97,19.22,2.75
Opening an account,31293,6730,0.21506407183715207,21.51,19.22,2.29
Unexpected or other fees,6873,1456,0.21184344536592464,21.18,19.22,1.96
Problem with a lender or other company charging your account,35346,7467,0.21125445594975387,21.13,19.22,1.91
Struggling to pay your bill,6003,1232,0.20523071797434617,20.52,19.22,1.3
Managing an account,195351,39484,0.20211823845283616,20.21,19.22,0.99
Closing your account,25617,5069,0.197876410196354,19.79,19.22,0.57
Closing an account,42856,8464,0.19749859996266567,19.75,19.22,0.53
Other,1226,214,0.17455138662316477,17.46,19.22,-1.76
Wrong amount charged or received,1608,279,0.17350746268656717,17.35,19.22,-1.87
Improper use of your report,6691,1147,0.17142430130025407,17.14,19.22,-2.08
Credit monitoring or identity theft protection services,1573,264,0.16783216783216784,16.78,19.22,-2.44
Unauthorized transactions or other transaction problem,13223,2059,0.15571352945625047,15.57,19.22,-3.65
Trouble using your card,13900,2104,0.15136690647482015,15.14,19.22,-4.08
Money was not available when promised,10872,1638,0.15066225165562913,15.07,19.22,-4.15
