state,count,percent
CA,172756,13.4
FL,118868,9.22
TX,114626,8.89
NY,91474,7.1
GA,62588,4.86
IL,55818,4.33
PA,47376,3.68
NJ,46891,3.64
NC,38311,2.97
VA,38033,2.95
OH,35280,2.74
MD,34570,2.68
MI,29777,2.31
,28399,2.2
AZ,27330,2.12
MA,25002,1.94
WA,23168,1.8
TN,20495,1.59
CO,19919,1.55
SC,19647,1.52
NV,17594,1.36
MO,15774,1.22
CT,15637,1.21
LA,15632,1.21
IN,15584,1.21
AL,15220,1.18
MN,13621,1.06
WI,12611,0.98
OR,12004,0.93
MS,8600,0.67
KY,8359,0.65
OK,8255,0.64
UT,7019,0.54
AR,6991,0.54
DC,6814,0.53
DE,6517,0.51
KS,5559,0.43
IA,4892,0.38
NM,4798,0.37
WV,3965,0.31
NE,3899,0.3
RI,3871,0.3
NH,3559,0.28
ID,3506,0.27
HI,3343,0.26
ME,2713,0.21
PR,2577,0.2
MT,1944,0.15
VT,1521,0.12
SD,1441,0.11
AK,1431,0.11
WY,1168,0.09
ND,1017,0.08
AE,412,0.03
AP,307,0.02
VI,160,0.01
UNITED STATES MINOR OUTLYING ISLANDS,155,0.01
GU,135,0.01
AA,24,0.0
AS,23,0.0
FM,23,0.0
MP,20,0.0
PW,2,0.0
MH,2,0.0
