company,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
U.S. BANCORP,27497,27497,1.0,100.0,98.59,1.41
NAVY FEDERAL CREDIT UNION,27306,27305,0.9999633780121585,100.0,98.59,1.41
PNC Bank N.A.,18915,18915,1.0,100.0,98.59,1.41
DISCOVER BANK,17734,17734,1.0,100.0,98.59,1.41
JPMORGAN CHASE & CO.,92441,92433,0.9999134583139516,99.99,98.59,1.4
"EQUIFAX, INC.",20527,20524,0.9998538510254786,99.99,98.59,1.4
"Bread Financial Holdings, Inc.",19421,19419,0.9998970186911076,99.99,98.59,1.4
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",19292,19291,0.9999481650425046,99.99,98.59,1.4
Experian Information Solutions Inc.,18339,18338,0.9999454713997492,99.99,98.59,1.4
TD BANK US HOLDING COMPANY,17843,17842,0.9999439556128453,99.99,98.59,1.4
BARCLAYS BANK DELAWARE,13113,13112,0.9999237398001983,99.99,98.59,1.4
ALLY FINANCIAL INC.,11837,11836,0.9999155191349159,99.99,98.59,1.4
"CITIZENS FINANCIAL GROUP, INC.",10556,10555,0.9999052671466464,99.99,98.59,1.4
CAPITAL ONE FINANCIAL CORPORATION,70529,70516,0.9998156786570064,99.98,98.59,1.39
UNITED SERVICES AUTOMOBILE ASSOCIATION,11067,11065,0.9998192825517304,99.98,98.59,1.39
"Early Warning Services, LLC",23693,23687,0.9997467606466045,99.97,98.59,1.38
"CITIBANK, N.A.",66000,65976,0.9996363636363637,99.96,98.59,1.37
Mr. Cooper Group Inc.,12936,12931,0.9996134817563389,99.96,98.59,1.37
Ocwen Financial Corporation,11991,11986,0.9995830205987825,99.96,98.59,1.37
"HUNTINGTON NATIONAL BANK, THE",5355,5353,0.9996265172735761,99.96,98.59,1.37
M&T BANK CORPORATION,5343,5341,0.9996256784577953,99.96,98.59,1.37
REGIONS FINANCIAL CORPORATION,5640,5637,0.999468085106383,99.95,98.59,1.36
"Paypal Holdings, Inc",28600,28578,0.9992307692307693,99.92,98.59,1.33
"SANTANDER HOLDINGS USA, INC.",5426,5421,0.9990785108735717,99.91,98.59,1.32
SYNCHRONY FINANCIAL,33533,33501,0.9990457161602004,99.9,98.59,1.31
KEYCORP,5097,5091,0.9988228369629194,99.88,98.59,1.29
Chime Financial Inc,18913,18883,0.9984137894569872,99.84,98.59,1.25
GOLDMAN SACHS BANK USA,11193,11175,0.9983918520503886,99.84,98.59,1.25
FIFTH THIRD FINANCIAL CORPORATION,8422,8406,0.9981002137259558,99.81,98.59,1.22
Freedom Mortgage Company,6902,6889,0.9981164879745001,99.81,98.59,1.22
