product,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
Credit card,194996,194335,0.9966101868756282,99.66,98.59,1.07
Checking or savings account,333982,330627,0.9899545484487188,99.0,98.59,0.41
Credit card or prepaid card,206357,203925,0.988214598971685,98.82,98.59,0.23
Mortgage,221283,218042,0.9853535969776259,98.54,98.59,-0.05
"Money transfer, virtual currency, or money service",164638,162007,0.9840194851735322,98.4,98.59,-0.19
Vehicle loan or lease,85430,83846,0.981458504038394,98.15,98.59,-0.44
"Payday loan, title loan, personal loan, or advance loan",24745,23734,0.959143261264902,95.91,98.59,-2.68
"Payday loan, title loan, or personal loan",30622,29039,0.9483051400953563,94.83,98.59,-3.76
Prepaid card,15540,14718,0.9471042471042471,94.71,98.59,-3.88
Consumer Loan,3543,3341,0.9429861699125035,94.3,98.59,-4.29
Bank account or service,6955,6436,0.9253774263120057,92.54,98.59,-6.05
