state,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
WV,3965,3932,0.9916771752837327,99.17,98.59,0.58
ME,2713,2690,0.9915223000368596,99.15,98.59,0.56
NY,91474,90566,0.9900736821391871,99.01,98.59,0.42
IL,55818,55217,0.9892328639506969,98.92,98.59,0.33
OH,35280,34866,0.988265306122449,98.83,98.59,0.24
PA,47376,46817,0.9882007767646066,98.82,98.59,0.23
MI,29777,29427,0.988245961648252,98.82,98.59,0.23
LA,15632,15447,0.9881653019447287,98.82,98.59,0.23
DE,6517,6440,0.9881847475832438,98.82,98.59,0.23
VT,1521,1503,0.9881656804733728,98.82,98.59,0.23
NE,3899,3851,0.9876891510643755,98.77,98.59,0.18
MN,13621,13448,0.9872990235665516,98.73,98.59,0.14
MA,25002,24681,0.9871610271178306,98.72,98.59,0.13
CT,15637,15437,0.9872098228560465,98.72,98.59,0.13
TX,114626,113134,0.9869837558669062,98.7,98.59,0.11
WI,12611,12447,0.9869954801363888,98.7,98.59,0.11
PR,2577,2543,0.9868063639891347,98.68,98.59,0.09
NJ,46891,46266,0.9866712162248619,98.67,98.59,0.08
IN,15584,15377,0.9867171457905544,98.67,98.59,0.08
MO,15774,15561,0.9864967668314949,98.65,98.59,0.06
NH,3559,3511,0.986513065467828,98.65,98.59,0.06
HI,3343,3298,0.9865390367932995,98.65,98.59,0.06
FL,118868,117240,0.9863041356799138,98.63,98.59,0.04
DC,6814,6720,0.9862048723216906,98.62,98.59,0.03
KS,5559,5482,0.9861485878755172,98.61,98.59,0.02
MD,34570,34084,0.9859415678333815,98.59,98.59,0.0
AZ,27330,26945,0.9859129162092938,98.59,98.59,0.0
VA,38033,37494,0.9858280966529067,98.58,98.59,-0.01
AR,6991,6892,0.9858389357745673,98.58,98.59,-0.01
NC,38311,37756,0.9855132990524914,98.55,98.59,-0.04
