company_grouped,total_records,false_positive_count,false_negative_count,error_count,average_predicted_probability,actual_timely_rate,predicted_timely_rate,error_rate_percent,false_positive_rate_percent,false_negative_rate_percent,actual_timely_rate_percent,predicted_timely_rate_percent
Other,9670,27,8205,8232,0.3649,0.9543950361944157,0.10868665977249224,85.13,0.28,84.85,95.44,10.87
"BANK OF AMERICA, NATIONAL ASSOCIATION",2987,23,705,728,0.5935,0.9765651155005022,0.7482423836625377,24.37,0.77,23.6,97.66,74.82
Netspend Corporation,157,3,20,23,0.6163,0.9681528662420382,0.8598726114649682,14.65,1.91,12.74,96.82,85.99
"Block, Inc.",1999,18,253,271,0.7254,0.9829914957478739,0.8654327163581791,13.56,0.9,12.66,98.3,86.54
KEYCORP,184,0,10,10,0.7042,1.0,0.9456521739130435,5.43,0.0,5.43,100.0,94.57
WELLS FARGO & COMPANY,2964,19,140,159,0.6789,0.9817813765182186,0.9409581646423751,5.36,0.64,4.72,98.18,94.1
REGIONS FINANCIAL CORPORATION,193,0,9,9,0.6994,1.0,0.9533678756476683,4.66,0.0,4.66,100.0,95.34
TRUIST FINANCIAL CORPORATION,543,8,5,13,0.6833,0.9852670349907919,0.990791896869245,2.39,1.47,0.92,98.53,99.08
"CITIZENS FINANCIAL GROUP, INC.",354,0,7,7,0.753,1.0,0.980225988700565,1.98,0.0,1.98,100.0,98.02
"HUNTINGTON NATIONAL BANK, THE",164,1,2,3,0.7173,0.9939024390243902,0.9878048780487805,1.83,0.61,1.22,99.39,98.78
PNC Bank N.A.,679,0,10,10,0.7826,1.0,0.9852724594992637,1.47,0.0,1.47,100.0,98.53
"SOFI TECHNOLOGIES, INC.",151,1,1,2,0.7484,0.9933774834437086,0.9933774834437086,1.32,0.66,0.66,99.34,99.34
M&T BANK CORPORATION,193,0,2,2,0.7167,1.0,0.9896373056994818,1.04,0.0,1.04,100.0,98.96
"LoanCare, LLC",227,2,0,2,0.7359,0.9911894273127754,1.0,0.88,0.88,0.0,99.12,100.0
"Coinbase, Inc.",356,2,1,3,0.6863,0.9943820224719101,0.9971910112359551,0.84,0.56,0.28,99.44,99.72
HSBC NORTH AMERICA HOLDINGS INC.,126,0,1,1,0.709,1.0,0.9920634920634921,0.79,0.0,0.79,100.0,99.21
Chime Financial Inc,633,0,5,5,0.7771,1.0,0.9921011058451816,0.79,0.0,0.79,100.0,99.21
"CARRINGTON MORTGAGE SERVICES, LLC",132,1,0,1,0.7606,0.9924242424242424,1.0,0.76,0.76,0.0,99.24,100.0
GOLDMAN SACHS BANK USA,416,1,2,3,0.8105,0.9975961538461539,0.9951923076923077,0.72,0.24,0.48,99.76,99.52
FIFTH THIRD FINANCIAL CORPORATION,277,0,2,2,0.7252,1.0,0.9927797833935018,0.72,0.0,0.72,100.0,99.28
"Shellpoint Partners, LLC",450,3,0,3,0.6977,0.9933333333333333,1.0,0.67,0.67,0.0,99.33,100.0
"Westlake Services, LLC",155,1,0,1,0.7434,0.9935483870967742,1.0,0.65,0.65,0.0,99.35,100.0
TD BANK US HOLDING COMPANY,626,0,4,4,0.7883,1.0,0.9936102236421726,0.64,0.0,0.64,100.0,99.36
BMO BANK NATIONAL ASSOCIATION,173,0,1,1,0.7504,1.0,0.9942196531791907,0.58,0.0,0.58,100.0,99.42
Santander Consumer USA Holdings Inc.,188,0,1,1,0.6959,1.0,0.9946808510638298,0.53,0.0,0.53,100.0,99.47
UNITED SERVICES AUTOMOBILE ASSOCIATION,377,0,2,2,0.7627,1.0,0.9946949602122016,0.53,0.0,0.53,100.0,99.47
Mr. Cooper Group Inc.,454,2,0,2,0.8222,0.9955947136563876,1.0,0.44,0.44,0.0,99.56,100.0
Comerica,229,0,1,1,0.6535,1.0,0.9956331877729258,0.44,0.0,0.44,100.0,99.56
U.S. BANCORP,954,0,4,4,0.8115,1.0,0.9958071278825996,0.42,0.0,0.42,100.0,99.58
"Bread Financial Holdings, Inc.",693,0,2,2,0.8318,1.0,0.9971139971139971,0.29,0.0,0.29,100.0,99.71
ALLY FINANCIAL INC.,393,0,1,1,0.7597,1.0,0.9974554707379135,0.25,0.0,0.25,100.0,99.75
NAVY FEDERAL CREDIT UNION,956,0,2,2,0.8664,1.0,0.997907949790795,0.21,0.0,0.21,100.0,99.79
AMERICAN EXPRESS COMPANY,1084,2,0,2,0.797,0.9981549815498155,1.0,0.18,0.18,0.0,99.82,100.0
Experian Information Solutions Inc.,601,0,1,1,0.9173,1.0,0.9983361064891847,0.17,0.0,0.17,100.0,99.83
SYNCHRONY FINANCIAL,1228,0,2,2,0.8476,1.0,0.998371335504886,0.16,0.0,0.16,100.0,99.84
DISCOVER BANK,658,0,1,1,0.848,1.0,0.9984802431610942,0.15,0.0,0.15,100.0,99.85
"EQUIFAX, INC.",719,0,1,1,0.9203,1.0,0.9986091794158554,0.14,0.0,0.14,100.0,99.86
CAPITAL ONE FINANCIAL CORPORATION,2479,3,0,3,0.9016,0.9987898346107301,1.0,0.12,0.12,0.0,99.88,100.0
