issue,total_records,false_positive_count,false_negative_count,error_count,average_predicted_probability,actual_timely_rate,predicted_timely_rate,error_rate_percent,false_positive_rate_percent,false_negative_rate_percent,actual_timely_rate_percent,predicted_timely_rate_percent
Charged fees or interest you didn't expect,448,0,343,343,0.317,0.953125,0.1875,76.56,0.0,76.56,95.31,18.75
Problem with the payoff process at the end of the loan,170,0,128,128,0.3242,0.9588235294117647,0.20588235294117646,75.29,0.0,75.29,95.88,20.59
Getting the loan,160,0,112,112,0.3887,0.975,0.275,70.0,0.0,70.0,97.5,27.5
"Account opening, closing, or management",132,0,88,88,0.3964,0.9318181818181818,0.26515151515151514,66.67,0.0,66.67,93.18,26.52
Struggling to pay your loan,582,0,364,364,0.4448,0.9553264604810997,0.32989690721649484,62.54,0.0,62.54,95.53,32.99
Getting a line of credit,103,0,62,62,0.4198,0.9902912621359223,0.3883495145631068,60.19,0.0,60.19,99.03,38.83
Closing on a mortgage,571,2,285,287,0.5149,0.9719789842381786,0.4763572679509632,50.26,0.35,49.91,97.2,47.64
"Loan servicing, payments, escrow account",179,0,87,87,0.5713,0.994413407821229,0.5083798882681564,48.6,0.0,48.6,99.44,50.84
Repossession,344,0,167,167,0.5861,0.9912790697674418,0.5058139534883721,48.55,0.0,48.55,99.13,50.58
Managing the loan or lease,977,0,470,470,0.549,0.9825997952917093,0.5015353121801432,48.11,0.0,48.11,98.26,50.15
Unexpected or other fees,247,0,117,117,0.4862,0.9554655870445344,0.4817813765182186,47.37,0.0,47.37,95.55,48.18
Getting a loan or lease,403,2,180,182,0.5664,0.9751861042183623,0.533498759305211,45.16,0.5,44.67,97.52,53.35
Problems at the end of the loan or lease,472,0,213,213,0.5791,0.9830508474576272,0.5317796610169492,45.13,0.0,45.13,98.31,53.18
Applying for a mortgage or refinancing an existing mortgage,925,1,369,370,0.5761,0.9816216216216216,0.5837837837837838,40.0,0.11,39.89,98.16,58.38
Problem getting a card or closing an account,238,1,90,91,0.4475,0.9033613445378151,0.5294117647058824,38.24,0.42,37.82,90.34,52.94
Trouble during payment process,3574,5,1281,1286,0.6235,0.9868494683827644,0.6298265249020705,35.98,0.14,35.84,98.68,62.98
Trouble accessing funds in your mobile or digital wallet,167,1,59,60,0.5411,0.9580838323353293,0.6107784431137725,35.93,0.6,35.33,95.81,61.08
Problem with a purchase or transfer,358,1,120,121,0.5151,0.9497206703910615,0.61731843575419,33.8,0.28,33.52,94.97,61.73
"Loan modification,collection,foreclosure",145,0,47,47,0.6181,0.993103448275862,0.6689655172413793,32.41,0.0,32.41,99.31,66.9
Money was not available when promised,387,1,124,125,0.5587,0.9715762273901809,0.6537467700258398,32.3,0.26,32.04,97.16,65.37
Struggling to pay mortgage,1959,3,620,623,0.6641,0.9887697805002552,0.6738131699846861,31.8,0.15,31.65,98.88,67.38
Improper use of your report,216,1,66,67,0.6764,0.9861111111111112,0.6851851851851852,31.02,0.46,30.56,98.61,68.52
Trouble using the card,440,1,135,136,0.5004,0.9363636363636364,0.6318181818181818,30.91,0.23,30.68,93.64,63.18
Confusing or missing disclosures,136,0,39,39,0.6069,0.9852941176470589,0.6985294117647058,28.68,0.0,28.68,98.53,69.85
Other service problem,198,2,50,52,0.5905,0.9595959595959596,0.7171717171717171,26.26,1.01,25.25,95.96,71.72
Unauthorized transactions or other transaction problem,476,4,105,109,0.6143,0.9747899159663865,0.7626050420168067,22.9,0.84,22.06,97.48,76.26
Fraud or scam,1352,9,295,304,0.6131,0.977810650887574,0.7662721893491125,22.49,0.67,21.82,97.78,76.63
Problem when making payments,1289,4,277,281,0.7005,0.9852598913886734,0.773467804499612,21.8,0.31,21.49,98.53,77.35
Incorrect information on your report,1834,4,350,354,0.7717,0.9918211559432933,0.8031624863685932,19.3,0.22,19.08,99.18,80.32
Problem with a credit reporting company's investigation into an existing problem,356,0,63,63,0.744,1.0,0.8230337078651685,17.7,0.0,17.7,100.0,82.3
Opening an account,1146,6,192,198,0.6801,0.9895287958115183,0.8272251308900523,17.28,0.52,16.75,98.95,82.72
Problem with a lender or other company charging your account,1203,4,163,167,0.7121,0.9900249376558603,0.85785536159601,13.88,0.33,13.55,99.0,85.79
