product,total_records,false_positive_count,false_negative_count,error_count,average_predicted_probability,actual_timely_rate,predicted_timely_rate,error_rate_percent,false_positive_rate_percent,false_negative_rate_percent,actual_timely_rate_percent,predicted_timely_rate_percent
"Payday loan, title loan, personal loan, or advance loan",858,0,662,662,0.3498,0.9662004662004662,0.19463869463869463,77.16,0.0,77.16,96.62,19.46
"Payday loan, title loan, or personal loan",1071,0,790,790,0.3253,0.9486461251167133,0.21101774042950514,73.76,0.0,73.76,94.86,21.1
Bank account or service,252,0,174,174,0.4071,0.9523809523809523,0.2619047619047619,69.05,0.0,69.05,95.24,26.19
Consumer Loan,136,0,78,78,0.4225,0.9705882352941176,0.39705882352941174,57.35,0.0,57.35,97.06,39.71
Vehicle loan or lease,2874,4,1337,1341,0.566,0.9812108559498957,0.5173973556019485,46.66,0.14,46.52,98.12,51.74
Prepaid card,566,2,213,215,0.4625,0.931095406360424,0.558303886925795,37.99,0.35,37.63,93.11,55.83
Mortgage,7731,11,2826,2837,0.6176,0.9857715690078903,0.6216530849825378,36.7,0.14,36.55,98.58,62.17
"Money transfer, virtual currency, or money service",5787,18,1003,1021,0.6877,0.984275099360636,0.8140660100224641,17.64,0.31,17.33,98.43,81.41
Checking or savings account,11664,53,1372,1425,0.7228,0.9902263374485597,0.8771433470507545,12.22,0.45,11.76,99.02,87.71
Credit card or prepaid card,7198,16,742,758,0.7703,0.9872186718532926,0.8863573214781884,10.53,0.22,10.31,98.72,88.64
Credit card,6828,15,184,199,0.8717,0.9956063268892794,0.9708553016988869,2.91,0.22,2.69,99.56,97.09
