state_grouped,total_records,false_positive_count,false_negative_count,error_count,average_predicted_probability,actual_timely_rate,predicted_timely_rate,error_rate_percent,false_positive_rate_percent,false_negative_rate_percent,actual_timely_rate_percent,predicted_timely_rate_percent
MS,286,1,84,85,0.6546,0.986013986013986,0.6958041958041958,29.72,0.35,29.37,98.6,69.58
OK,283,0,82,82,0.6485,0.9787985865724381,0.6890459363957597,28.98,0.0,28.98,97.88,68.9
WV,149,1,41,42,0.6799,0.9932885906040269,0.7248322147651006,28.19,0.67,27.52,99.33,72.48
SC,693,1,185,186,0.6601,0.9783549783549783,0.7128427128427128,26.84,0.14,26.7,97.84,71.28
NM,178,1,46,47,0.6607,0.9719101123595506,0.7191011235955056,26.4,0.56,25.84,97.19,71.91
TN,740,2,191,193,0.6589,0.9824324324324324,0.727027027027027,26.08,0.27,25.81,98.24,72.7
HI,116,0,30,30,0.6846,0.9827586206896551,0.7241379310344828,25.86,0.0,25.86,98.28,72.41
ID,124,0,32,32,0.6842,0.9838709677419355,0.7258064516129032,25.81,0.0,25.81,98.39,72.58
NE,122,0,31,31,0.6879,0.9836065573770492,0.7295081967213115,25.41,0.0,25.41,98.36,72.95
UT,254,0,64,64,0.6757,0.9763779527559056,0.7244094488188977,25.2,0.0,25.2,97.64,72.44
IA,169,1,41,42,0.6668,0.9644970414201184,0.727810650887574,24.85,0.59,24.26,96.45,72.78
AL,529,1,130,131,0.6754,0.9792060491493384,0.7353497164461248,24.76,0.19,24.57,97.92,73.53
CO,666,0,162,162,0.6814,0.9864864864864865,0.7432432432432432,24.32,0.0,24.32,98.65,74.32
KS,181,0,44,44,0.684,0.988950276243094,0.7458563535911602,24.31,0.0,24.31,98.9,74.59
NH,132,0,32,32,0.6784,1.0,0.7575757575757576,24.24,0.0,24.24,100.0,75.76
VA,1375,6,327,333,0.6798,0.9854545454545455,0.752,24.22,0.44,23.78,98.55,75.2
KY,303,0,73,73,0.6672,0.9801980198019802,0.7392739273927392,24.09,0.0,24.09,98.02,73.93
LA,532,2,122,124,0.6952,0.9868421052631579,0.7612781954887218,23.31,0.38,22.93,98.68,76.13
WA,807,0,188,188,0.6845,0.9863692688971499,0.7534076827757125,23.3,0.0,23.3,98.64,75.34
Other,1154,2,263,265,0.6476,0.975736568457539,0.7495667244367418,22.96,0.17,22.79,97.57,74.96
CA,6084,21,1376,1397,0.6846,0.9832347140039448,0.7605193951347797,22.96,0.35,22.62,98.32,76.05
MO,550,0,126,126,0.6914,0.990909090909091,0.7618181818181818,22.91,0.0,22.91,99.09,76.18
GA,2151,6,484,490,0.68,0.9814039981403998,0.7591817759181776,22.78,0.28,22.5,98.14,75.92
NV,624,4,138,142,0.6923,0.9855769230769231,0.7708333333333334,22.76,0.64,22.12,98.56,77.08
FL,4132,11,917,928,0.6903,0.9886253630203291,0.7693610842207164,22.46,0.27,22.19,98.86,76.94
MI,1053,1,235,236,0.692,0.9886039886039886,0.7663817663817664,22.41,0.09,22.32,98.86,76.64
MN,453,2,96,98,0.6792,0.9933774834437086,0.7858719646799117,21.63,0.44,21.19,99.34,78.59
IN,556,4,115,119,0.7079,0.9838129496402878,0.7841726618705036,21.4,0.72,20.68,98.38,78.42
NJ,1568,4,327,331,0.702,0.9853316326530612,0.7793367346938775,21.11,0.26,20.85,98.53,77.93
NC,1371,3,283,286,0.6883,0.9824945295404814,0.7782640408460978,20.86,0.22,20.64,98.25,77.83
MD,1241,5,253,258,0.6938,0.9871071716357775,0.7872683319903304,20.79,0.4,20.39,98.71,78.73
AZ,912,3,181,184,0.6982,0.9846491228070176,0.7894736842105263,20.18,0.33,19.85,98.46,78.95
OR,440,1,87,88,0.6823,0.9840909090909091,0.7886363636363637,20.0,0.23,19.77,98.41,78.86
TX,4025,15,790,805,0.7211,0.9880745341614907,0.795527950310559,20.0,0.37,19.63,98.81,79.55
RI,143,0,27,27,0.703,0.9790209790209791,0.7902097902097902,18.88,0.0,18.88,97.9,79.02
WI,435,0,82,82,0.7131,0.993103448275862,0.8045977011494253,18.85,0.0,18.85,99.31,80.46
CT,512,2,93,95,0.7018,0.982421875,0.8046875,18.55,0.39,18.16,98.24,80.47
AR,243,0,45,45,0.7012,0.9876543209876543,0.8024691358024691,18.52,0.0,18.52,98.77,80.25
MA,889,3,161,164,0.7107,0.9887514060742407,0.8110236220472441,18.45,0.34,18.11,98.88,81.1
DE,249,0,45,45,0.7098,0.9919678714859438,0.8112449799196787,18.07,0.0,18.07,99.2,81.12
PA,1653,5,285,290,0.7208,0.9897156684815487,0.8203266787658802,17.54,0.3,17.24,98.97,82.03
OH,1206,1,200,201,0.7145,0.9867330016583747,0.8217247097844113,16.67,0.08,16.58,98.67,82.17
IL,1918,3,311,314,0.7386,0.9895724713242962,0.8289885297184567,16.37,0.16,16.21,98.96,82.9
DC,237,1,36,37,0.7165,0.9957805907172996,0.8481012658227848,15.61,0.42,15.19,99.58,84.81
NY,3160,6,443,449,0.7497,0.9898734177215189,0.8515822784810126,14.21,0.19,14.02,98.99,85.16
