feature,coefficient,absolute_coefficient,feature_clean,feature_family,direction
cat__company_grouped_Other,-4.5911,4.5911,company grouped Other,Company group,Lower predicted probability of timely response / higher non-timely risk
"cat__company_grouped_BANK OF AMERICA, NATIONAL ASSOCIATION",-3.8684,3.8684,"company grouped BANK OF AMERICA, NATIONAL ASSOCIATION",Company group,Lower predicted probability of timely response / higher non-timely risk
cat__sub_issue_You never received your bill or did not know a payment was due,3.8595,3.8595,sub issue You never received your bill or did not know a payment was due,Issue / sub-issue,Higher predicted probability of timely response
"cat__company_grouped_Shellpoint Partners, LLC",-3.724,3.724,"company grouped Shellpoint Partners, LLC",Company group,Lower predicted probability of timely response / higher non-timely risk
cat__company_grouped_Netspend Corporation,-3.6676,3.6676,company grouped Netspend Corporation,Company group,Lower predicted probability of timely response / higher non-timely risk
cat__company_grouped_TRUIST FINANCIAL CORPORATION,-3.4148,3.4148,company grouped TRUIST FINANCIAL CORPORATION,Company group,Lower predicted probability of timely response / higher non-timely risk
"cat__company_grouped_Block, Inc.",-3.3862,3.3862,"company grouped Block, Inc.",Company group,Lower predicted probability of timely response / higher non-timely risk
cat__company_grouped_WELLS FARGO & COMPANY,-3.3708,3.3708,company grouped WELLS FARGO & COMPANY,Company group,Lower predicted probability of timely response / higher non-timely risk
"cat__company_grouped_LoanCare, LLC",-3.3397,3.3397,"company grouped LoanCare, LLC",Company group,Lower predicted probability of timely response / higher non-timely risk
cat__sub_product_Conventional adjustable mortgage (ARM),3.1231,3.1231,sub product Conventional adjustable mortgage (ARM),Product / sub-product,Higher predicted probability of timely response
cat__sub_product_Manufactured home loan,3.1148,3.1148,sub product Manufactured home loan,Product / sub-product,Higher predicted probability of timely response
cat__sub_issue_Problem with paying off the loan,3.0189,3.0189,sub issue Problem with paying off the loan,Issue / sub-issue,Higher predicted probability of timely response
cat__sub_issue_Problem using the card to withdraw money from an ATM,3.0012,3.0012,sub issue Problem using the card to withdraw money from an ATM,Issue / sub-issue,Higher predicted probability of timely response
cat__company_grouped_U.S. BANCORP,2.8825,2.8825,company grouped U.S. BANCORP,Company group,Higher predicted probability of timely response
cat__state_grouped_SD,2.8595,2.8595,state grouped SD,Geography / state,Higher predicted probability of timely response
cat__sub_issue_Changes in terms mid-deal or after closing,2.8586,2.8586,sub issue Changes in terms mid-deal or after closing,Issue / sub-issue,Higher predicted probability of timely response
