risk_threshold,flagged_records,flagged_percent,precision_non_timely,recall_non_timely,f1_non_timely,balanced_accuracy
0.1,37843,84.1,0.0167,0.9968,0.0328,0.5791
0.15,31304,69.56,0.0201,0.9937,0.0394,0.6511
0.2,25944,57.65,0.0241,0.9889,0.0471,0.7091
0.25,20967,46.59,0.0296,0.9795,0.0574,0.7604
0.3,17115,38.03,0.0359,0.97,0.0692,0.799
0.35,14530,32.29,0.0413,0.9479,0.0791,0.8169
0.4,12652,28.12,0.0463,0.9258,0.0882,0.8269
0.45,11250,25.0,0.0499,0.8863,0.0944,0.8227
0.5,9917,22.04,0.0518,0.812,0.0974,0.8
0.55,8449,18.78,0.0541,0.722,0.1006,0.7709
0.6,6942,15.43,0.0568,0.6224,0.104,0.7374
0.65,4267,9.48,0.0701,0.4724,0.122,0.6915
0.7,2660,5.91,0.0808,0.3397,0.1306,0.6423
0.75,1478,3.28,0.1035,0.2417,0.145,0.6059
0.8,341,0.76,0.2111,0.1137,0.1478,0.5538
0.85,81,0.18,0.4198,0.0537,0.0952,0.5263
0.9,11,0.02,0.8182,0.0142,0.028,0.5071
