file,exists,size_mb
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_test_target_distribution.csv,True,0.0001
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_model_evaluation_policy.csv,True,0.0008
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_model_comparison_interpretation.csv,True,0.0007
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_best_model_evaluation.csv,True,0.0001
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_best_model_classification_report.csv,True,0.0002
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_best_model_non_timely_risk_metrics.csv,True,0.0002
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_best_model_confusion_matrix.csv,True,0.0001
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_threshold_analysis.csv,True,0.0007
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_non_timely_risk_threshold_analysis.csv,True,0.0008
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_recommended_non_timely_risk_threshold.csv,True,0.0002
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_error_summary.csv,True,0.0001
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_rq3_narrative_model_interpretation.csv,True,0.0011
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_rq4_company_state_incremental_value.csv,True,0.0004
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_random_forest_feature_family_importance.csv,True,0.0005
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_company_response_target_distribution.csv,True,0.0001
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_company_response_classification_report.csv,True,0.0003
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_company_response_modeling_notes.csv,True,0.0006
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_business_findings_and_recommendations.csv,True,0.0064
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_executive_ready_business_observations.csv,True,0.0018
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_implementation_roadmap.csv,True,0.0015
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_capstone_limitations.csv,True,0.0025
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/tables/final_capstone_summary.csv,True,0.0016
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_model_performance_comparison.png,True,0.0874
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_best_model_confusion_matrix.png,True,0.0551
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_best_model_roc_curve.png,True,0.0513
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_best_model_precision_recall_curve.png,True,0.0508
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_threshold_analysis.png,True,0.0709
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_non_timely_risk_threshold_analysis.png,True,0.0703
/content/drive/MyDrive/retail-complaint-resolution-ml/outputs/figures/final_random_forest_feature_family_importance.png,True,0.0509
