company_grouped,total_records,actual_timely_rate_percent,predicted_timely_rate_percent,accuracy,balanced_accuracy,precision,recall,f1
"HUNTINGTON NATIONAL BANK, THE",164,99.39,98.78,0.9817,0.4939,0.9938,0.9877,0.9908
TRUIST FINANCIAL CORPORATION,543,98.53,99.08,0.9761,0.4953,0.9851,0.9907,0.9879
"SOFI TECHNOLOGIES, INC.",151,99.34,99.34,0.9868,0.4967,0.9933,0.9933,0.9933
GOLDMAN SACHS BANK USA,416,99.76,99.52,0.9928,0.4976,0.9976,0.9952,0.9964
"Coinbase, Inc.",356,99.44,99.72,0.9916,0.4986,0.9944,0.9972,0.9958
"Early Warning Services, LLC",905,99.89,100.0,0.9989,0.5,0.9989,1.0,0.9994
"LoanCare, LLC",227,99.12,100.0,0.9912,0.5,0.9912,1.0,0.9956
AMERICAN EXPRESS COMPANY,1084,99.82,100.0,0.9982,0.5,0.9982,1.0,0.9991
Mr. Cooper Group Inc.,454,99.56,100.0,0.9956,0.5,0.9956,1.0,0.9978
"Shellpoint Partners, LLC",450,99.33,100.0,0.9933,0.5,0.9933,1.0,0.9967
"CARRINGTON MORTGAGE SERVICES, LLC",132,99.24,100.0,0.9924,0.5,0.9924,1.0,0.9962
"Westlake Services, LLC",155,99.35,100.0,0.9935,0.5,0.9935,1.0,0.9968
"Paypal Holdings, Inc",960,99.9,100.0,0.999,0.5,0.999,1.0,0.9995
CAPITAL ONE FINANCIAL CORPORATION,2479,99.88,100.0,0.9988,0.5,0.9988,1.0,0.9994
Other,9670,95.44,10.87,0.1487,0.5249,0.9743,0.111,0.1992
Netspend Corporation,157,96.82,85.99,0.8535,0.6342,0.9778,0.8684,0.9199
"Block, Inc.",1999,98.3,86.54,0.8644,0.6709,0.9896,0.8712,0.9267
"BANK OF AMERICA, NATIONAL ASSOCIATION",2987,97.66,74.82,0.7563,0.7149,0.9897,0.7583,0.8587
WELLS FARGO & COMPANY,2964,98.18,94.1,0.9464,0.8,0.9932,0.9519,0.9721
KEYCORP,184,100.0,94.57,0.9457,0.9457,1.0,0.9457,0.9721
REGIONS FINANCIAL CORPORATION,193,100.0,95.34,0.9534,0.9534,1.0,0.9534,0.9761
"CITIZENS FINANCIAL GROUP, INC.",354,100.0,98.02,0.9802,0.9802,1.0,0.9802,0.99
PNC Bank N.A.,679,100.0,98.53,0.9853,0.9853,1.0,0.9853,0.9926
M&T BANK CORPORATION,193,100.0,98.96,0.9896,0.9896,1.0,0.9896,0.9948
HSBC NORTH AMERICA HOLDINGS INC.,126,100.0,99.21,0.9921,0.9921,1.0,0.9921,0.996
Chime Financial Inc,633,100.0,99.21,0.9921,0.9921,1.0,0.9921,0.996
FIFTH THIRD FINANCIAL CORPORATION,277,100.0,99.28,0.9928,0.9928,1.0,0.9928,0.9964
TD BANK US HOLDING COMPANY,626,100.0,99.36,0.9936,0.9936,1.0,0.9936,0.9968
BMO BANK NATIONAL ASSOCIATION,173,100.0,99.42,0.9942,0.9942,1.0,0.9942,0.9971
Santander Consumer USA Holdings Inc.,188,100.0,99.47,0.9947,0.9947,1.0,0.9947,0.9973
UNITED SERVICES AUTOMOBILE ASSOCIATION,377,100.0,99.47,0.9947,0.9947,1.0,0.9947,0.9973
Comerica,229,100.0,99.56,0.9956,0.9956,1.0,0.9956,0.9978
U.S. BANCORP,954,100.0,99.58,0.9958,0.9958,1.0,0.9958,0.9979
"Bread Financial Holdings, Inc.",693,100.0,99.71,0.9971,0.9971,1.0,0.9971,0.9986
ALLY FINANCIAL INC.,393,100.0,99.75,0.9975,0.9975,1.0,0.9975,0.9987
NAVY FEDERAL CREDIT UNION,956,100.0,99.79,0.9979,0.9979,1.0,0.9979,0.999
Experian Information Solutions Inc.,601,100.0,99.83,0.9983,0.9983,1.0,0.9983,0.9992
SYNCHRONY FINANCIAL,1228,100.0,99.84,0.9984,0.9984,1.0,0.9984,0.9992
DISCOVER BANK,658,100.0,99.85,0.9985,0.9985,1.0,0.9985,0.9992
"EQUIFAX, INC.",719,100.0,99.86,0.9986,0.9986,1.0,0.9986,0.9993
Ocwen Financial Corporation,440,100.0,100.0,1.0,1.0,1.0,1.0,1.0
JPMORGAN CHASE & CO.,3253,100.0,100.0,1.0,1.0,1.0,1.0,1.0
Freedom Mortgage Company,240,100.0,100.0,1.0,1.0,1.0,1.0,1.0
"CITIBANK, N.A.",2271,100.0,100.0,1.0,1.0,1.0,1.0,1.0
CREDIT ACCEPTANCE CORPORATION,148,100.0,100.0,1.0,1.0,1.0,1.0,1.0
BARCLAYS BANK DELAWARE,446,100.0,100.0,1.0,1.0,1.0,1.0,1.0
"SELECT PORTFOLIO SERVICING, INC.",341,100.0,100.0,1.0,1.0,1.0,1.0,1.0
"Rocket Mortgage, LLC",139,100.0,100.0,1.0,1.0,1.0,1.0,1.0
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",670,100.0,100.0,1.0,1.0,1.0,1.0,1.0
Specialized Loan Servicing Holdings LLC,199,100.0,100.0,1.0,1.0,1.0,1.0,1.0
"SANTANDER HOLDINGS USA, INC.",166,100.0,100.0,1.0,1.0,1.0,1.0,1.0
