product,total_records,actual_timely_rate_percent,predicted_timely_rate_percent,accuracy,balanced_accuracy,precision,recall,f1
"Payday loan, title loan, personal loan, or advance loan",858,96.62,19.46,0.2284,0.6007,1.0,0.2014,0.3353
"Payday loan, title loan, or personal loan",1071,94.86,21.1,0.2624,0.6112,1.0,0.2224,0.3639
Bank account or service,252,95.24,26.19,0.3095,0.6375,1.0,0.275,0.4314
Consumer Loan,136,97.06,39.71,0.4265,0.7045,1.0,0.4091,0.5806
Checking or savings account,11664,99.02,87.71,0.8778,0.7081,0.9948,0.8812,0.9346
Vehicle loan or lease,2874,98.12,51.74,0.5334,0.7259,0.9973,0.5259,0.6886
Credit card,6828,99.56,97.09,0.9709,0.7365,0.9977,0.9729,0.9852
Mortgage,7731,98.58,62.17,0.633,0.7646,0.9977,0.6292,0.7717
Prepaid card,566,93.11,55.83,0.6201,0.7723,0.9937,0.5958,0.745
"Money transfer, virtual currency, or money service",5787,98.43,81.41,0.8236,0.8131,0.9962,0.8239,0.9019
Credit card or prepaid card,7198,98.72,88.64,0.8947,0.8608,0.9975,0.8956,0.9438
