state_grouped,total_records,actual_timely_rate_percent,predicted_timely_rate_percent,accuracy,balanced_accuracy,precision,recall,f1
WV,149,99.33,72.48,0.7181,0.3615,0.9907,0.723,0.8359
DC,237,99.58,84.81,0.8439,0.4237,0.995,0.8475,0.9153
MN,453,99.34,78.59,0.7837,0.56,0.9944,0.7867,0.8784
NV,624,98.56,77.08,0.7724,0.6656,0.9917,0.7756,0.8704
IN,556,98.38,78.42,0.786,0.6727,0.9908,0.7898,0.8789
MS,286,98.6,69.58,0.7028,0.7261,0.995,0.7021,0.8233
VA,1375,98.55,75.2,0.7578,0.7293,0.9942,0.7587,0.8606
MD,1241,98.71,78.73,0.7921,0.7405,0.9949,0.7935,0.8828
LA,532,98.68,76.13,0.7669,0.741,0.9951,0.7676,0.8667
TX,4025,98.81,79.55,0.8,0.7444,0.9953,0.8014,0.8879
NH,132,100.0,75.76,0.7576,0.7576,1.0,0.7576,0.8621
MA,889,98.88,81.1,0.8155,0.7584,0.9958,0.8168,0.8975
PA,1653,98.97,82.03,0.8246,0.7658,0.9963,0.8258,0.9031
NM,178,97.19,71.91,0.736,0.7671,0.9922,0.7341,0.8439
FL,4132,98.86,76.94,0.7754,0.7707,0.9965,0.7755,0.8722
CA,6084,98.32,76.05,0.7704,0.782,0.9955,0.77,0.8683
IA,169,96.45,72.78,0.7515,0.7909,0.9919,0.7485,0.8531
TN,740,98.24,72.7,0.7392,0.7917,0.9963,0.7373,0.8474
AZ,912,98.46,78.95,0.7982,0.7921,0.9958,0.7984,0.8863
CT,512,98.24,80.47,0.8145,0.7964,0.9951,0.8151,0.8962
NJ,1568,98.53,77.93,0.7889,0.8072,0.9967,0.7883,0.8804
GA,2151,98.14,75.92,0.7722,0.8104,0.9963,0.7707,0.8691
OR,440,98.41,78.86,0.8,0.8281,0.9971,0.7991,0.8872
AL,529,97.92,73.53,0.7524,0.8291,0.9974,0.749,0.8556
SC,693,97.84,71.28,0.7316,0.8302,0.998,0.7271,0.8413
NC,1371,98.25,77.83,0.7914,0.8325,0.9972,0.7899,0.8815
NY,3160,98.99,85.16,0.8579,0.8354,0.9978,0.8584,0.9228
IL,1918,98.96,82.9,0.8363,0.8431,0.9981,0.8361,0.91
MI,1053,98.86,76.64,0.7759,0.8455,0.9988,0.7743,0.8723
Other,1154,97.57,74.96,0.7704,0.8475,0.9977,0.7664,0.8669
OK,283,97.88,68.9,0.7102,0.852,1.0,0.704,0.8263
HI,116,98.28,72.41,0.7414,0.8684,1.0,0.7368,0.8485
ID,124,98.39,72.58,0.7419,0.8689,1.0,0.7377,0.8491
NE,122,98.36,72.95,0.7459,0.8708,1.0,0.7417,0.8517
UT,254,97.64,72.44,0.748,0.871,1.0,0.7419,0.8519
CO,666,98.65,74.32,0.7568,0.8767,1.0,0.7534,0.8594
KY,303,98.02,73.93,0.7591,0.8771,1.0,0.7542,0.8599
KS,181,98.9,74.59,0.7569,0.8771,1.0,0.7542,0.8599
WA,807,98.64,75.34,0.767,0.8819,1.0,0.7638,0.8661
MO,550,99.09,76.18,0.7709,0.8844,1.0,0.7688,0.8693
OH,1206,98.67,82.17,0.8333,0.8847,0.999,0.8319,0.9078
RI,143,97.9,79.02,0.8112,0.9036,1.0,0.8071,0.8933
WI,435,99.31,80.46,0.8115,0.9051,1.0,0.8102,0.8951
AR,243,98.77,80.25,0.8148,0.9062,1.0,0.8125,0.8966
DE,249,99.2,81.12,0.8193,0.9089,1.0,0.8178,0.8998
