threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.9861,0.5071,0.9861,1.0,0.993
0.15,0.9856,0.5263,0.9867,0.9989,0.9928
0.2,0.9816,0.5538,0.9874,0.9939,0.9907
0.25,0.9599,0.6059,0.989,0.9701,0.9795
0.3,0.9364,0.6423,0.9901,0.9449,0.967
0.35,0.9044,0.6915,0.9918,0.9106,0.9494
0.4,0.8492,0.7374,0.9937,0.8524,0.9177
0.45,0.8185,0.7709,0.9952,0.8199,0.8991
0.5,0.7884,0.8,0.9966,0.7881,0.8802
0.55,0.7609,0.8227,0.9979,0.7591,0.8622
0.6,0.7308,0.8269,0.9985,0.728,0.8421
0.65,0.6897,0.8169,0.9989,0.686,0.8134
0.7,0.6329,0.799,0.9993,0.6281,0.7714
0.75,0.5476,0.7604,0.9995,0.5414,0.7023
0.8,0.4372,0.7091,0.9996,0.4294,0.6007
0.85,0.3182,0.6511,0.9997,0.3086,0.4716
0.9,0.173,0.5791,0.9997,0.1613,0.2777
