feature,coefficient,absolute_coefficient
cat__company_grouped_Other,-4.591128528371081,4.591128528371081
"cat__company_grouped_BANK OF AMERICA, NATIONAL ASSOCIATION",-3.868396771932502,3.868396771932502
"cat__company_grouped_Shellpoint Partners, LLC",-3.72402029018302,3.72402029018302
cat__company_grouped_Netspend Corporation,-3.667572133030165,3.667572133030165
cat__company_grouped_TRUIST FINANCIAL CORPORATION,-3.414774368300097,3.414774368300097
"cat__company_grouped_Block, Inc.",-3.3861599664230755,3.3861599664230755
cat__company_grouped_WELLS FARGO & COMPANY,-3.3708343256530986,3.3708343256530986
"cat__company_grouped_LoanCare, LLC",-3.339668777816217,3.339668777816217
cat__sub_issue_Late or other fees,-2.5873033332205577,2.5873033332205577
"cat__sub_issue_Excess mileage, damage, or wear fees, or other problem after the lease is finished",-2.5775838826226782,2.5775838826226782
cat__sub_product_Virtual currency,-2.213449034486411,2.213449034486411
cat__sub_product_Debt settlement,-2.2051890613318688,2.2051890613318688
cat__sub_issue_Problem related to refinancing,-2.15344470469,2.15344470469
cat__company_grouped_Freedom Mortgage Company,-2.132156314449744,2.132156314449744
cat__sub_issue_Trying to communicate with the company to fix an issue with the loan closing,-2.081114705421105,2.081114705421105
cat__sub_issue_Privacy issues,-2.0375352450788755,2.0375352450788755
cat__company_grouped_Specialized Loan Servicing Holdings LLC,-2.0165579581989816,2.0165579581989816
cat__issue_Trouble accessing funds in your mobile or digital wallet,-1.941784808509213,1.941784808509213
cat__sub_issue_Termination fees or other problem when ending the lease early,-1.8935428501983247,1.8935428501983247
"cat__sub_issue_Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu",-1.8546271999198156,1.8546271999198156
cat__sub_product_International money transfer,-1.7465394340139102,1.7465394340139102
cat__sub_product_Money order,-1.718722121452698,1.718722121452698
"cat__company_grouped_SELECT PORTFOLIO SERVICING, INC.",-1.673119867381354,1.673119867381354
cat__company_grouped_Chime Financial Inc,-1.6086037189251912,1.6086037189251912
cat__company_grouped_HSBC NORTH AMERICA HOLDINGS INC.,-1.5867243161713611,1.5867243161713611
cat__sub_issue_Unable to receive car title or other problem after the loan is paid off,-1.582440437730995,1.582440437730995
cat__sub_issue_Loan sold or transferred to another company,-1.57691589331132,1.57691589331132
cat__sub_product_Mobile or digital wallet,-1.5734522365279329,1.5734522365279329
cat__sub_issue_Trying to communicate with the company to fix an issue while managing or servicing your loan,-1.535819427160698,1.535819427160698
cat__product_Prepaid card,-1.4219207298695538,1.4219207298695538
