feature,coefficient,absolute_coefficient
text__codes,-4.832374520380965,4.832374520380965
text__better,-4.716600910751992,4.716600910751992
cat__company_grouped_Other,-4.494480746481129,4.494480746481129
text__years ago,-4.491852737130681,4.491852737130681
text__forged,-4.369355643384959,4.369355643384959
text__billing,-4.367035823403977,4.367035823403977
text__disbursement,-4.32632477045872,4.32632477045872
text__california,-4.109073137342373,4.109073137342373
text__coverage,-4.098655063641905,4.098655063641905
text__xxxx today,-3.95623490678708,3.95623490678708
text__calls xxxx,-3.948305599670221,3.948305599670221
text__visa,-3.923066340958637,3.923066340958637
text__dealer,-3.898708032423122,3.898708032423122
text__debit cards,-3.8586611477885775,3.8586611477885775
text__robinhood,-3.772955070152325,3.772955070152325
"cat__company_grouped_Block, Inc.",-3.738424014973597,3.738424014973597
cat__company_grouped_Netspend Corporation,-3.725328424822447,3.725328424822447
"cat__company_grouped_BANK OF AMERICA, NATIONAL ASSOCIATION",-3.7132049476379945,3.7132049476379945
text__deposits,-3.6883627943605646,3.6883627943605646
text__fraudulent account,-3.686549994526703,3.686549994526703
text__earned,-3.679512819823525,3.679512819823525
text__updating,-3.6748183977636577,3.6748183977636577
text__created,-3.6537391841696714,3.6537391841696714
"cat__company_grouped_Shellpoint Partners, LLC",-3.6470829654961583,3.6470829654961583
text__package,-3.636213973764226,3.636213973764226
text__hsbc,-3.625815013390049,3.625815013390049
text__citibank,-3.571593000040796,3.571593000040796
text__overdraft fee,-3.546323112117047,3.546323112117047
text__today xxxx,-3.4958098778797764,3.4958098778797764
text__took xxxx,-3.4950041855116125,3.4950041855116125
