feature,coefficient,absolute_coefficient
text__provide,4.350902636591058,4.350902636591058
text__principal,4.098065980551363,4.098065980551363
text__person,3.784646364068557,3.784646364068557
cat__sub_issue_You never received your bill or did not know a payment was due,3.734057501534384,3.734057501534384
text__atm,3.675546811856672,3.675546811856672
text__suntrust,3.317738718650163,3.317738718650163
text__flagstar,3.232492909565507,3.232492909565507
text__told xxxx,3.2117289651022864,3.2117289651022864
text__didnt,3.1856882936722237,3.1856882936722237
text__attached,3.1813036718398995,3.1813036718398995
text__option,3.156273111394399,3.156273111394399
text__bb,3.105088099620537,3.105088099620537
text__complaints,3.0955484149651995,3.0955484149651995
text__instead,3.017988210125937,3.017988210125937
text__bbva,3.013297116368704,3.013297116368704
text__toyota,3.004172271440069,3.004172271440069
text__pmi,2.968163192945806,2.968163192945806
text__motor,2.953043571119816,2.953043571119816
text__avant,2.934122132327757,2.934122132327757
cat__sub_issue_Problem with paying off the loan,2.930169005841757,2.930169005841757
text__corporate,2.928359820974336,2.928359820974336
text__amex,2.9062726577463205,2.9062726577463205
text__penfed,2.8846008392577955,2.8846008392577955
text__long,2.882342182425021,2.882342182425021
cat__sub_issue_Changes in terms mid-deal or after closing,2.849857173999819,2.849857173999819
text__boa,2.83956933664256,2.83956933664256
text__debt,2.8157577186849707,2.8157577186849707
text__200,2.7823192412068245,2.7823192412068245
text__continue,2.7819015592262355,2.7819015592262355
cat__company_grouped_U.S. BANCORP,2.757395123134972,2.757395123134972
