model,risk_threshold,flagged_records,flagged_percent,precision_non_timely,recall_non_timely,f1_non_timely
Structured + TF-IDF logistic regression,0.05,20549,45.66,0.029101172806462603,0.9447077409162717,0.05646303465206307
Structured + TF-IDF logistic regression,0.1,17741,39.42,0.03263626627585818,0.9146919431279621,0.06302383803200175
Structured + TF-IDF logistic regression,0.15,16159,35.91,0.034408069806299894,0.8783570300157978,0.06622201048118151
Structured + TF-IDF logistic regression,0.2,14937,33.19,0.036017942023163954,0.8499210110584519,0.06910725754656391
Structured + TF-IDF logistic regression,0.25,13834,30.74,0.03787769264131849,0.8278041074249605,0.07244072717218497
Structured + TF-IDF logistic regression,0.3,12821,28.49,0.039466500272989626,0.7993680884676145,0.07521926564590456
Structured + TF-IDF logistic regression,0.35,11804,26.23,0.041172483903761437,0.7677725118483413,0.07815389563399534
Structured + TF-IDF logistic regression,0.4,10718,23.82,0.04329165889158425,0.7330173775671406,0.08175491146154523
Structured + TF-IDF logistic regression,0.45,9746,21.66,0.045146726862302484,0.6951026856240127,0.08478658830330475
Structured + TF-IDF logistic regression,0.5,8703,19.34,0.048259220958290244,0.6635071090047393,0.08997429305912596
Structured + TF-IDF logistic regression,0.55,7628,16.95,0.04981646565285789,0.6003159557661928,0.09199854739135697
Structured + TF-IDF logistic regression,0.6,6561,14.58,0.053040695016003656,0.5497630331753555,0.09674728940783987
Structured + TF-IDF logistic regression,0.65,5417,12.04,0.05759645560273214,0.4928909952606635,0.10314049586776859
Structured + TF-IDF logistic regression,0.7,4353,9.67,0.06202618883528601,0.4265402843601896,0.10830324909747292
Structured + TF-IDF logistic regression,0.75,3296,7.32,0.06492718446601942,0.3380726698262243,0.10893357088317639
Structured + TF-IDF logistic regression,0.8,2326,5.17,0.07007738607050731,0.2575039494470774,0.11017235552551538
Structured + TF-IDF logistic regression,0.85,1438,3.2,0.08136300417246176,0.1848341232227488,0.11298889425398358
Structured + TF-IDF logistic regression,0.9,693,1.54,0.113997113997114,0.12480252764612954,0.1191553544494721
Structured + TF-IDF logistic regression,0.95,231,0.51,0.1038961038961039,0.037914691943127965,0.05555555555555555
