product,count,percent
Checking or savings account,333982,25.91
Mortgage,221283,17.17
Credit card or prepaid card,206357,16.01
Credit card,194996,15.13
"Money transfer, virtual currency, or money service",164638,12.77
Vehicle loan or lease,85430,6.63
"Payday loan, title loan, or personal loan",30622,2.38
"Payday loan, title loan, personal loan, or advance loan",24745,1.92
Prepaid card,15540,1.21
Bank account or service,6955,0.54
Consumer Loan,3543,0.27
Payday loan,493,0.04
Money transfers,440,0.03
Virtual currency,3,0.0
