product,No,Yes
Bank account or service,97.79420834474375,6857.205791655257
Checking or savings account,4696.118661595141,329285.88133840484
Consumer Loan,49.818099232987365,3493.181900767013
Credit card,2741.8374479355357,192254.16255206446
Credit card or prepaid card,2901.5843927241244,203455.41560727588
"Money transfer, virtual currency, or money service",2314.973813581872,162323.02618641814
Money transfers,6.186837048409382,433.81316295159064
Mortgage,3111.4587785981207,218171.5412214019
Payday loan,6.932069692876875,486.0679303071231
"Payday loan, title loan, or personal loan",430.5757365827093,30191.42426341729
"Payday loan, title loan, personal loan, or advance loan",347.93927900656854,24397.06072099343
Prepaid card,218.50783575518588,15321.492164244813
Vehicle loan or lease,1201.2306569218488,84228.76934307815
Virtual currency,0.042182979875518514,2.9578170201244816
