product,No,Yes
Bank account or service,519,6436
Checking or savings account,3355,330627
Consumer Loan,202,3341
Credit card,661,194335
Credit card or prepaid card,2432,203925
"Money transfer, virtual currency, or money service",2631,162007
Money transfers,26,414
Mortgage,3241,218042
Payday loan,58,435
"Payday loan, title loan, or personal loan",1583,29039
"Payday loan, title loan, personal loan, or advance loan",1011,23734
Prepaid card,822,14718
Vehicle loan or lease,1584,83846
Virtual currency,0,3
