product,No,Yes
Bank account or service,7.46,92.54
Checking or savings account,1.0,99.0
Consumer Loan,5.7,94.3
Credit card,0.34,99.66
Credit card or prepaid card,1.18,98.82
"Money transfer, virtual currency, or money service",1.6,98.4
Money transfers,5.91,94.09
Mortgage,1.46,98.54
Payday loan,11.76,88.24
"Payday loan, title loan, or personal loan",5.17,94.83
"Payday loan, title loan, personal loan, or advance loan",4.09,95.91
Prepaid card,5.29,94.71
Vehicle loan or lease,1.85,98.15
Virtual currency,0.0,100.0
