product,No,Yes
Bank account or service,42.593,-5.087
Checking or savings account,-19.57,2.337
Consumer Loan,21.561,-2.575
Credit card,-39.739,4.746
Credit card or prepaid card,-8.718,1.041
"Money transfer, virtual currency, or money service",6.568,-0.784
Money transfers,7.966,-0.951
Mortgage,2.322,-0.277
Payday loan,19.396,-2.316
"Payday loan, title loan, or personal loan",55.538,-6.632
"Payday loan, title loan, personal loan, or advance loan",35.547,-4.245
Prepaid card,40.826,-4.876
Vehicle loan or lease,11.044,-1.319
Virtual currency,-0.205,0.025
