issue_grouped,Closed,Closed with explanation,Closed with monetary relief,Closed with non-monetary relief,In progress,Untimely response
"Advertising and marketing, including promotional offers",5.055287941217771,13156.304512704419,1760.3424843730725,1378.0410850289497,0.27873768096940094,30.97789227137206
Applying for a mortgage or refinancing an existing mortgage,8.187331501884076,21307.39685607245,2850.97657027637,2231.817320306821,0.45143181213395905,50.170490030342265
Charged fees or interest you didn't expect,4.162231440671983,10832.139518573487,1449.364095577756,1134.599254748592,0.22949647041299154,25.505403189080198
Closing an account,13.265526264952936,34523.31599947555,4619.295623374175,3616.102667186982,0.7314325258871293,81.28875117245596
Closing on a mortgage,5.311906256279283,13824.149497153134,1849.7016123839278,1447.993694145905,0.2928870617497349,32.550402999004625
Closing your account,7.929784531882656,20637.135062271085,2761.294067857755,2161.6115654391406,0.4372312273218507,48.592288672814774
Fees or interest,11.212889296107486,29181.361727003376,3904.5303907565863,3056.5661761682472,0.6182545476550493,68.71056222802707
Fraud or scam,12.138448719550087,31590.11504847703,4226.826883823483,3308.868107723973,0.6692878993235637,74.38222335664152
Getting a credit card,14.50063733503186,37737.672438498914,5049.383585694214,3952.786515650978,0.79953388814712,88.85728893271403
Incorrect information on your report,16.318324604080342,42468.17394475085,5682.3350931486675,4448.277131736337,0.8997572463402694,99.9957485137254
Managing an account,60.46998551546556,157372.15220398444,21056.740144193656,16483.75432227973,3.3341846650131384,370.54915936168743
Managing the loan or lease,8.914158768186159,23198.952976079185,3104.0709400827486,2429.9460612074377,0.4915075010027456,54.6243563614415
Opening an account,9.686799678190418,25209.738357483275,3373.118447338593,2640.5633258104785,0.5341092554390707,59.35896043402399
Other,59.262424541937264,154229.49444242302,20636.245622637147,16154.580464420567,3.267602355695789,363.1494436216457
"Other features, terms, or problems",12.491337596715494,32508.502602483706,4349.709158772065,3405.0634929994003,0.6887454313978468,76.54466271671525
Other transaction problem,20.89659345783154,54383.044053311154,7276.570923402647,5696.285682809643,1.1521931229882052,128.05055389573462
Problem caused by your funds being low,8.340869118615691,21706.97600237711,2904.441139025929,2273.6707510933225,0.45989754538733135,51.111340839637506
Problem when making payments,10.74794272285973,27971.345844443702,3742.627603938366,2929.824536972026,0.5926183957466518,65.86145352729834
Problem with a company's investigation into an existing problem,8.292888613387062,21582.107519156903,2887.7334612916916,2260.5915539725406,0.4572520037456525,50.817324961732744
Problem with a lender or other company charging your account,10.941102950360795,28474.042189794727,3809.889480752327,2982.4788531227864,0.603268834355733,67.04510454544396
Problem with a purchase shown on your statement,27.900818566271592,72611.42579410858,9715.568498193506,7605.595316693058,1.5383909986415416,170.97118143993495
Problems at the end of the loan or lease,4.378608041670772,11395.25609774074,1524.7103325857026,1193.5822146674725,0.24142700981643356,26.831319954599092
Struggling to pay mortgage,17.519075441382633,45593.1084377262,6100.458202381608,4775.594587423514,0.9659640594246063,107.35373296787103
Struggling to pay your loan,5.332336664957279,13877.319302911415,1856.8158493546352,1453.5629006618508,0.2940135504487723,32.675596856693105
Trouble during payment process,31.43992254226466,81821.8862370545,10947.948366164686,8570.333772705302,1.733529563733891,192.65817196951653
Trouble using your card,4.302767888244873,11197.883333941058,1498.3014226186829,1172.9086450249465,0.23724534722152182,26.366585179846403
