issue_grouped,Closed,Closed with explanation,Closed with monetary relief,Closed with non-monetary relief,In progress,Untimely response
"Advertising and marketing, including promotional offers",0,11544,2586,2190,2,9
Applying for a mortgage or refinancing an existing mortgage,0,24036,1484,797,1,131
Charged fees or interest you didn't expect,0,11993,859,393,0,201
Closing an account,0,34372,5197,3267,0,18
Closing on a mortgage,0,15382,1112,556,3,107
Closing your account,0,20533,2074,2995,0,15
Fees or interest,0,21908,12643,1650,6,16
Fraud or scam,0,35031,2890,1134,1,157
Getting a credit card,0,32126,973,13707,0,38
Incorrect information on your report,0,36233,716,15685,1,81
Managing an account,0,155760,29966,9518,1,102
Managing the loan or lease,52,25731,1363,1542,0,109
Opening an account,0,24548,3521,3209,0,15
Other,347,158229,16637,15538,2,693
"Other features, terms, or problems",0,28957,5883,5493,1,19
Other transaction problem,0,64782,1977,690,1,56
Problem caused by your funds being low,0,21002,5567,352,0,24
Problem when making payments,0,25779,5998,2877,0,67
Problem with a company's investigation into an existing problem,0,14386,222,12177,0,5
Problem with a lender or other company charging your account,0,27843,6556,911,0,35
Problem with a purchase shown on your statement,0,59022,25203,5857,2,49
Problems at the end of the loan or lease,0,11991,830,1265,0,59
Struggling to pay mortgage,0,54730,354,1411,0,100
Struggling to pay your loan,0,15928,352,793,0,153
Trouble during payment process,0,94765,3268,3362,1,170
Trouble using your card,0,11780,708,1396,0,16
