issue_grouped,Closed,Closed with explanation,Closed with monetary relief,Closed with non-monetary relief,In progress,Untimely response
"Advertising and marketing, including promotional offers",0.0,70.69,15.83,13.41,0.01,0.06
Applying for a mortgage or refinancing an existing mortgage,0.0,90.88,5.61,3.01,0.0,0.5
Charged fees or interest you didn't expect,0.0,89.19,6.39,2.92,0.0,1.49
Closing an account,0.0,80.21,12.13,7.62,0.0,0.04
Closing on a mortgage,0.0,89.64,6.48,3.24,0.02,0.62
Closing your account,0.0,80.15,8.1,11.69,0.0,0.06
Fees or interest,0.0,60.48,34.9,4.56,0.02,0.04
Fraud or scam,0.0,89.34,7.37,2.89,0.0,0.4
Getting a credit card,0.0,68.58,2.08,29.26,0.0,0.08
Incorrect information on your report,0.0,68.73,1.36,29.75,0.0,0.15
Managing an account,0.0,79.74,15.34,4.87,0.0,0.05
Managing the loan or lease,0.18,89.35,4.73,5.35,0.0,0.38
Opening an account,0.0,78.45,11.25,10.25,0.0,0.05
Other,0.18,82.65,8.69,8.12,0.0,0.36
"Other features, terms, or problems",0.0,71.76,14.58,13.61,0.0,0.05
Other transaction problem,0.0,95.96,2.93,1.02,0.0,0.08
Problem caused by your funds being low,0.0,77.94,20.66,1.31,0.0,0.09
Problem when making payments,0.0,74.25,17.27,8.29,0.0,0.19
Problem with a company's investigation into an existing problem,0.0,53.7,0.83,45.45,0.0,0.02
Problem with a lender or other company charging your account,0.0,78.77,18.55,2.58,0.0,0.1
Problem with a purchase shown on your statement,0.0,65.48,27.96,6.5,0.0,0.05
Problems at the end of the loan or lease,0.0,84.77,5.87,8.94,0.0,0.42
Struggling to pay mortgage,0.0,96.7,0.63,2.49,0.0,0.18
Struggling to pay your loan,0.0,92.46,2.04,4.6,0.0,0.89
Trouble during payment process,0.0,93.3,3.22,3.31,0.0,0.17
Trouble using your card,0.0,84.75,5.09,10.04,0.0,0.12
