issue_grouped,Closed,Closed with explanation,Closed with monetary relief,Closed with non-monetary relief,In progress,Untimely response
"Advertising and marketing, including promotional offers",-2.248,-14.057,19.679,21.873,3.26,-3.949
Applying for a mortgage or refinancing an existing mortgage,-2.861,18.693,-25.601,-30.372,0.816,11.412
Charged fees or interest you didn't expect,-2.04,11.154,-15.507,-22.016,-0.479,34.749
Closing an account,-3.642,-0.814,8.5,-5.805,-0.855,-7.02
Closing on a mortgage,-2.305,13.25,-17.153,-23.441,5.002,13.049
Closing your account,-2.816,-0.725,-13.079,17.925,-0.661,-4.819
Fees or interest,-3.349,-42.578,139.846,-25.442,6.844,-6.359
Fraud or scam,-3.484,19.36,-20.562,-37.809,0.404,9.579
Getting a credit card,-3.808,-28.887,-57.366,155.146,-0.894,-5.395
Incorrect information on your report,-4.04,-30.256,-65.883,168.478,0.106,-1.9
Managing an account,-7.776,-4.064,61.397,-54.255,-1.278,-13.951
Managing the loan or lease,14.431,16.624,-31.25,-18.013,-0.701,7.357
Opening an account,-3.112,-4.168,2.546,11.062,-0.731,-5.758
Other,37.377,10.184,-27.84,-4.851,-0.701,17.309
"Other features, terms, or problems",-3.534,-19.698,23.248,35.781,0.375,-6.577
Other transaction problem,-4.571,44.592,-62.127,-66.331,-0.142,-6.367
Problem caused by your funds being low,-2.888,-4.785,49.405,-40.301,-0.678,-3.792
Problem when making payments,-3.278,-13.108,36.866,-0.976,-0.77,0.14
Problem with a company's investigation into an existing problem,-2.88,-48.984,-49.606,208.566,-0.676,-6.427
Problem with a lender or other company charging your account,-3.308,-3.74,44.49,-37.931,-0.777,-3.914
Problem with a purchase shown on your statement,-5.282,-50.431,157.125,-20.05,0.372,-9.328
Problems at the end of the loan or lease,-2.093,5.581,-17.791,2.067,-0.491,6.21
Struggling to pay mortgage,-4.186,42.791,-73.573,-48.688,-0.983,-0.71
Struggling to pay your loan,-2.309,17.408,-34.922,-17.326,-0.542,21.05
Trouble during payment process,-5.607,45.248,-73.399,-56.26,-0.557,-1.632
Trouble using your card,-2.074,5.501,-20.417,6.514,-0.487,-2.019
