issue_grouped,company_response_to_consumer,standardized_residual
Problem with a company's investigation into an existing problem,Closed with non-monetary relief,208.566
Incorrect information on your report,Closed with non-monetary relief,168.478
Problem with a purchase shown on your statement,Closed with monetary relief,157.125
Getting a credit card,Closed with non-monetary relief,155.146
Fees or interest,Closed with monetary relief,139.846
Struggling to pay mortgage,Closed with monetary relief,-73.573
Trouble during payment process,Closed with monetary relief,-73.399
Other transaction problem,Closed with non-monetary relief,-66.331
Incorrect information on your report,Closed with monetary relief,-65.883
Other transaction problem,Closed with monetary relief,-62.127
Managing an account,Closed with monetary relief,61.397
Getting a credit card,Closed with monetary relief,-57.366
Trouble during payment process,Closed with non-monetary relief,-56.26
Managing an account,Closed with non-monetary relief,-54.255
Problem with a purchase shown on your statement,Closed with explanation,-50.431
Problem with a company's investigation into an existing problem,Closed with monetary relief,-49.606
Problem caused by your funds being low,Closed with monetary relief,49.405
Problem with a company's investigation into an existing problem,Closed with explanation,-48.984
Struggling to pay mortgage,Closed with non-monetary relief,-48.688
Trouble during payment process,Closed with explanation,45.248
Other transaction problem,Closed with explanation,44.592
Problem with a lender or other company charging your account,Closed with monetary relief,44.49
Struggling to pay mortgage,Closed with explanation,42.791
Fees or interest,Closed with explanation,-42.578
Problem caused by your funds being low,Closed with non-monetary relief,-40.301
Problem with a lender or other company charging your account,Closed with non-monetary relief,-37.931
Fraud or scam,Closed with non-monetary relief,-37.809
Other,Closed,37.377
Problem when making payments,Closed with monetary relief,36.866
"Other features, terms, or problems",Closed with non-monetary relief,35.781
Struggling to pay your loan,Closed with monetary relief,-34.922
Charged fees or interest you didn't expect,Untimely response,34.749
Managing the loan or lease,Closed with monetary relief,-31.25
Applying for a mortgage or refinancing an existing mortgage,Closed with non-monetary relief,-30.372
Incorrect information on your report,Closed with explanation,-30.256
Getting a credit card,Closed with explanation,-28.887
Other,Closed with monetary relief,-27.84
Applying for a mortgage or refinancing an existing mortgage,Closed with monetary relief,-25.601
Fees or interest,Closed with non-monetary relief,-25.442
Closing on a mortgage,Closed with non-monetary relief,-23.441
"Other features, terms, or problems",Closed with monetary relief,23.248
Charged fees or interest you didn't expect,Closed with non-monetary relief,-22.016
"Advertising and marketing, including promotional offers",Closed with non-monetary relief,21.873
Struggling to pay your loan,Untimely response,21.05
Fraud or scam,Closed with monetary relief,-20.562
Trouble using your card,Closed with monetary relief,-20.417
Problem with a purchase shown on your statement,Closed with non-monetary relief,-20.05
"Other features, terms, or problems",Closed with explanation,-19.698
"Advertising and marketing, including promotional offers",Closed with monetary relief,19.679
Fraud or scam,Closed with explanation,19.36
Applying for a mortgage or refinancing an existing mortgage,Closed with explanation,18.693
Managing the loan or lease,Closed with non-monetary relief,-18.013
Closing your account,Closed with non-monetary relief,17.925
Problems at the end of the loan or lease,Closed with monetary relief,-17.791
Struggling to pay your loan,Closed with explanation,17.408
Struggling to pay your loan,Closed with non-monetary relief,-17.326
Other,Untimely response,17.309
Closing on a mortgage,Closed with monetary relief,-17.153
Managing the loan or lease,Closed with explanation,16.624
Charged fees or interest you didn't expect,Closed with monetary relief,-15.507
Managing the loan or lease,Closed,14.431
"Advertising and marketing, including promotional offers",Closed with explanation,-14.057
Managing an account,Untimely response,-13.951
Closing on a mortgage,Closed with explanation,13.25
Problem when making payments,Closed with explanation,-13.108
Closing your account,Closed with monetary relief,-13.079
Closing on a mortgage,Untimely response,13.049
Applying for a mortgage or refinancing an existing mortgage,Untimely response,11.412
Charged fees or interest you didn't expect,Closed with explanation,11.154
Opening an account,Closed with non-monetary relief,11.062
Other,Closed with explanation,10.184
Fraud or scam,Untimely response,9.579
Problem with a purchase shown on your statement,Untimely response,-9.328
Closing an account,Closed with monetary relief,8.5
Managing an account,Closed,-7.776
Managing the loan or lease,Untimely response,7.357
Closing an account,Untimely response,-7.02
Fees or interest,In progress,6.844
"Other features, terms, or problems",Untimely response,-6.577
Trouble using your card,Closed with non-monetary relief,6.514
Problem with a company's investigation into an existing problem,Untimely response,-6.427
Other transaction problem,Untimely response,-6.367
Fees or interest,Untimely response,-6.359
Problems at the end of the loan or lease,Untimely response,6.21
Closing an account,Closed with non-monetary relief,-5.805
Opening an account,Untimely response,-5.758
Trouble during payment process,Closed,-5.607
Problems at the end of the loan or lease,Closed with explanation,5.581
Trouble using your card,Closed with explanation,5.501
Getting a credit card,Untimely response,-5.395
Problem with a purchase shown on your statement,Closed,-5.282
Closing on a mortgage,In progress,5.002
Other,Closed with non-monetary relief,-4.851
Closing your account,Untimely response,-4.819
Problem caused by your funds being low,Closed with explanation,-4.785
Other transaction problem,Closed,-4.571
Struggling to pay mortgage,Closed,-4.186
Opening an account,Closed with explanation,-4.168
Managing an account,Closed with explanation,-4.064
Incorrect information on your report,Closed,-4.04
"Advertising and marketing, including promotional offers",Untimely response,-3.949
Problem with a lender or other company charging your account,Untimely response,-3.914
Getting a credit card,Closed,-3.808
Problem caused by your funds being low,Untimely response,-3.792
Problem with a lender or other company charging your account,Closed with explanation,-3.74
Closing an account,Closed,-3.642
"Other features, terms, or problems",Closed,-3.534
Fraud or scam,Closed,-3.484
Fees or interest,Closed,-3.349
Problem with a lender or other company charging your account,Closed,-3.308
Problem when making payments,Closed,-3.278
"Advertising and marketing, including promotional offers",In progress,3.26
Opening an account,Closed,-3.112
Problem caused by your funds being low,Closed,-2.888
Problem with a company's investigation into an existing problem,Closed,-2.88
Applying for a mortgage or refinancing an existing mortgage,Closed,-2.861
Closing your account,Closed,-2.816
Opening an account,Closed with monetary relief,2.546
Struggling to pay your loan,Closed,-2.309
Closing on a mortgage,Closed,-2.305
"Advertising and marketing, including promotional offers",Closed,-2.248
Problems at the end of the loan or lease,Closed,-2.093
Trouble using your card,Closed,-2.074
Problems at the end of the loan or lease,Closed with non-monetary relief,2.067
Charged fees or interest you didn't expect,Closed,-2.04
