issue_grouped,Administrative / in progress,Closed with explanation,Other / unclear,Other closed outcome,Relief: monetary
"Advertising and marketing, including promotional offers",0.27873768096940094,13156.304512704419,30.97789227137206,5.055287941217771,3138.383569402022
Applying for a mortgage or refinancing an existing mortgage,0.45143181213395905,21307.39685607245,50.170490030342265,8.187331501884076,5082.793890583191
Charged fees or interest you didn't expect,0.22949647041299154,10832.139518573487,25.505403189080198,4.162231440671983,2583.963350326348
Closing an account,0.7314325258871293,34523.31599947555,81.28875117245596,13.265526264952936,8235.398290561157
Closing on a mortgage,0.2928870617497349,13824.149497153134,32.550402999004625,5.311906256279283,3297.695306529833
Closing your account,0.4372312273218507,20637.135062271085,48.592288672814774,7.929784531882656,4922.905633296896
Fees or interest,0.6182545476550493,29181.361727003376,68.71056222802707,11.212889296107486,6961.0965669248335
Fraud or scam,0.6692878993235637,31590.11504847703,74.38222335664152,12.138448719550087,7535.694991547456
Getting a credit card,0.79953388814712,37737.672438498914,88.85728893271403,14.50063733503186,9002.170101345191
Incorrect information on your report,0.8997572463402694,42468.17394475085,99.9957485137254,16.318324604080342,10130.612224885004
Managing an account,3.3341846650131384,157372.15220398444,370.54915936168743,60.46998551546556,37540.494466473385
Managing the loan or lease,0.4915075010027456,23198.952976079185,54.6243563614415,8.914158768186159,5534.017001290186
Opening an account,0.5341092554390707,25209.738357483275,59.35896043402399,9.686799678190418,6013.681773149071
Other,3.267602355695789,154229.49444242302,363.1494436216457,59.262424541937264,36790.826087057714
"Other features, terms, or problems",0.6887454313978468,32508.502602483706,76.54466271671525,12.491337596715494,7754.7726517714655
Other transaction problem,1.1521931229882052,54383.044053311154,128.05055389573462,20.89659345783154,12972.85660621229
Problem caused by your funds being low,0.45989754538733135,21706.97600237711,51.111340839637506,8.340869118615691,5178.111890119251
Problem when making payments,0.5926183957466518,27971.345844443702,65.86145352729834,10.74794272285973,6672.452140910392
Problem with a company's investigation into an existing problem,0.4572520037456525,21582.107519156903,50.817324961732744,8.292888613387062,5148.325015264232
Problem with a lender or other company charging your account,0.603268834355733,28474.042189794727,67.04510454544396,10.941102950360795,6792.368333875113
Problem with a purchase shown on your statement,1.5383909986415416,72611.42579410858,170.97118143993495,27.900818566271592,17321.163814886564
Problems at the end of the loan or lease,0.24142700981643356,11395.25609774074,26.831319954599092,4.378608041670772,2718.292547253175
Struggling to pay mortgage,0.9659640594246063,45593.1084377262,107.35373296787103,17.519075441382633,10876.052789805122
Struggling to pay your loan,0.2940135504487723,13877.319302911415,32.675596856693105,5.332336664957279,3310.3787500164863
Trouble during payment process,1.733529563733891,81821.8862370545,192.65817196951653,31.43992254226466,19518.28213886999
Trouble using your card,0.23724534722152182,11197.883333941058,26.366585179846403,4.302767888244873,2671.2100676436294
