issue_grouped,Administrative / in progress,Closed with explanation,Other / unclear,Other closed outcome,Relief: monetary
"Advertising and marketing, including promotional offers",2,11544,9,0,4776
Applying for a mortgage or refinancing an existing mortgage,1,24036,131,0,2281
Charged fees or interest you didn't expect,0,11993,201,0,1252
Closing an account,0,34372,18,0,8464
Closing on a mortgage,3,15382,107,0,1668
Closing your account,0,20533,15,0,5069
Fees or interest,6,21908,16,0,14293
Fraud or scam,1,35031,157,0,4024
Getting a credit card,0,32126,38,0,14680
Incorrect information on your report,1,36233,81,0,16401
Managing an account,1,155760,102,0,39484
Managing the loan or lease,0,25731,109,52,2905
Opening an account,0,24548,15,0,6730
Other,2,158229,693,347,32175
"Other features, terms, or problems",1,28957,19,0,11376
Other transaction problem,1,64782,56,0,2667
Problem caused by your funds being low,0,21002,24,0,5919
Problem when making payments,0,25779,67,0,8875
Problem with a company's investigation into an existing problem,0,14386,5,0,12399
Problem with a lender or other company charging your account,0,27843,35,0,7467
Problem with a purchase shown on your statement,2,59022,49,0,31060
Problems at the end of the loan or lease,0,11991,59,0,2095
Struggling to pay mortgage,0,54730,100,0,1765
Struggling to pay your loan,0,15928,153,0,1145
Trouble during payment process,1,94765,170,0,6630
Trouble using your card,0,11780,16,0,2104
