issue_grouped,Administrative / in progress,Closed with explanation,Other / unclear,Other closed outcome,Relief: monetary
"Advertising and marketing, including promotional offers",0.01,70.69,0.06,0.0,29.24
Applying for a mortgage or refinancing an existing mortgage,0.0,90.88,0.5,0.0,8.62
Charged fees or interest you didn't expect,0.0,89.19,1.49,0.0,9.31
Closing an account,0.0,80.21,0.04,0.0,19.75
Closing on a mortgage,0.02,89.64,0.62,0.0,9.72
Closing your account,0.0,80.15,0.06,0.0,19.79
Fees or interest,0.02,60.48,0.04,0.0,39.46
Fraud or scam,0.0,89.34,0.4,0.0,10.26
Getting a credit card,0.0,68.58,0.08,0.0,31.34
Incorrect information on your report,0.0,68.73,0.15,0.0,31.11
Managing an account,0.0,79.74,0.05,0.0,20.21
Managing the loan or lease,0.0,89.35,0.38,0.18,10.09
Opening an account,0.0,78.45,0.05,0.0,21.51
Other,0.0,82.65,0.36,0.18,16.81
"Other features, terms, or problems",0.0,71.76,0.05,0.0,28.19
Other transaction problem,0.0,95.96,0.08,0.0,3.95
Problem caused by your funds being low,0.0,77.94,0.09,0.0,21.97
Problem when making payments,0.0,74.25,0.19,0.0,25.56
Problem with a company's investigation into an existing problem,0.0,53.7,0.02,0.0,46.28
Problem with a lender or other company charging your account,0.0,78.77,0.1,0.0,21.13
Problem with a purchase shown on your statement,0.0,65.48,0.05,0.0,34.46
Problems at the end of the loan or lease,0.0,84.77,0.42,0.0,14.81
Struggling to pay mortgage,0.0,96.7,0.18,0.0,3.12
Struggling to pay your loan,0.0,92.46,0.89,0.0,6.65
Trouble during payment process,0.0,93.3,0.17,0.0,6.53
Trouble using your card,0.0,84.75,0.12,0.0,15.14
