issue_grouped,Administrative / in progress,Closed with explanation,Other / unclear,Other closed outcome,Relief: monetary
"Advertising and marketing, including promotional offers",3.26,-14.057,-3.949,-2.248,29.232
Applying for a mortgage or refinancing an existing mortgage,0.816,18.693,11.412,-2.861,-39.299
Charged fees or interest you didn't expect,-0.479,11.154,34.749,-2.04,-26.203
Closing an account,-0.855,-0.814,-7.02,-3.642,2.519
Closing on a mortgage,5.002,13.25,13.049,-2.305,-28.379
Closing your account,-0.661,-0.725,-4.819,-2.816,2.082
Fees or interest,6.844,-42.578,-6.359,-3.349,87.878
Fraud or scam,0.404,19.36,9.579,-3.484,-40.453
Getting a credit card,-0.894,-28.887,-5.395,-3.808,59.842
Incorrect information on your report,0.106,-30.256,-1.9,-4.04,62.298
Managing an account,-1.278,-4.064,-13.951,-7.776,10.031
Managing the loan or lease,-0.701,16.624,7.357,14.431,-35.341
Opening an account,-0.731,-4.168,-5.758,-3.112,9.237
Other,-0.701,10.184,17.309,37.377,-24.065
"Other features, terms, or problems",0.375,-19.698,-6.577,-3.534,41.122
Other transaction problem,-0.142,44.592,-6.367,-4.571,-90.483
Problem caused by your funds being low,-0.678,-4.785,-3.792,-2.888,10.296
Problem when making payments,-0.77,-13.108,0.14,-3.278,26.964
Problem with a company's investigation into an existing problem,-0.676,-48.984,-6.427,-2.88,101.052
Problem with a lender or other company charging your account,-0.777,-3.74,-3.914,-3.308,8.186
Problem with a purchase shown on your statement,0.372,-50.431,-9.328,-5.282,104.391
Problems at the end of the loan or lease,-0.491,5.581,6.21,-2.093,-11.955
Struggling to pay mortgage,-0.983,42.791,-0.71,-4.186,-87.364
Struggling to pay your loan,-0.542,17.408,21.05,-2.309,-37.635
Trouble during payment process,-0.557,45.248,-1.632,-5.607,-92.252
Trouble using your card,-0.487,5.501,-2.019,-2.074,-10.975
