issue_grouped,total_records,relief_records,relief_rate
Problem with a company's investigation into an existing problem,26790,12399,46.28
Fees or interest,36223,14293,39.46
Problem with a purchase shown on your statement,90133,31060,34.46
Getting a credit card,46844,14680,31.34
Incorrect information on your report,52716,16401,31.11
"Advertising and marketing, including promotional offers",16331,4776,29.24
"Other features, terms, or problems",40353,11376,28.19
Problem when making payments,34721,8875,25.56
Problem caused by your funds being low,26945,5919,21.97
Opening an account,31293,6730,21.51
Problem with a lender or other company charging your account,35345,7467,21.13
Managing an account,195347,39484,20.21
Closing your account,25617,5069,19.79
Closing an account,42854,8464,19.75
Other,191446,32175,16.81
Trouble using your card,13900,2104,15.14
Problems at the end of the loan or lease,14145,2095,14.81
Fraud or scam,39213,4024,10.26
Managing the loan or lease,28797,2905,10.09
Closing on a mortgage,17160,1668,9.72
Charged fees or interest you didn't expect,13446,1252,9.31
Applying for a mortgage or refinancing an existing mortgage,26449,2281,8.62
Struggling to pay your loan,17226,1145,6.65
Trouble during payment process,101566,6630,6.53
Other transaction problem,67506,2667,3.95
Struggling to pay mortgage,56595,1765,3.12
