issue_grouped,company_response_grouped,standardized_residual,abs_standardized_residual
Problem with a purchase shown on your statement,Relief: monetary,104.391,104.391
Problem with a company's investigation into an existing problem,Relief: monetary,101.052,101.052
Trouble during payment process,Relief: monetary,-92.252,92.252
Other transaction problem,Relief: monetary,-90.483,90.483
Fees or interest,Relief: monetary,87.878,87.878
Struggling to pay mortgage,Relief: monetary,-87.364,87.364
Incorrect information on your report,Relief: monetary,62.298,62.298
Getting a credit card,Relief: monetary,59.842,59.842
Problem with a purchase shown on your statement,Closed with explanation,-50.431,50.431
Problem with a company's investigation into an existing problem,Closed with explanation,-48.984,48.984
Trouble during payment process,Closed with explanation,45.248,45.248
Other transaction problem,Closed with explanation,44.592,44.592
Struggling to pay mortgage,Closed with explanation,42.791,42.791
Fees or interest,Closed with explanation,-42.578,42.578
"Other features, terms, or problems",Relief: monetary,41.122,41.122
Fraud or scam,Relief: monetary,-40.453,40.453
Applying for a mortgage or refinancing an existing mortgage,Relief: monetary,-39.299,39.299
Struggling to pay your loan,Relief: monetary,-37.635,37.635
Other,Other closed outcome,37.377,37.377
Managing the loan or lease,Relief: monetary,-35.341,35.341
Charged fees or interest you didn't expect,Other / unclear,34.749,34.749
Incorrect information on your report,Closed with explanation,-30.256,30.256
"Advertising and marketing, including promotional offers",Relief: monetary,29.232,29.232
Getting a credit card,Closed with explanation,-28.887,28.887
Closing on a mortgage,Relief: monetary,-28.379,28.379
