company_grouped,total_records,timely_rate,non_timely_rate
Other,385967,96.64,3.36
"BANK OF AMERICA, NATIONAL ASSOCIATION",85088,97.66,2.34
WELLS FARGO & COMPANY,87155,98.03,1.97
"Block, Inc.",59072,98.51,1.49
TRUIST FINANCIAL CORPORATION,15088,98.62,1.38
"Shellpoint Partners, LLC",13510,99.25,0.75
"SELECT PORTFOLIO SERVICING, INC.",9140,99.7,0.3
AMERICAN EXPRESS COMPANY,30731,99.77,0.23
Chime Financial Inc,18913,99.84,0.16
GOLDMAN SACHS BANK USA,11193,99.84,0.16
SYNCHRONY FINANCIAL,33533,99.9,0.1
"Paypal Holdings, Inc",28600,99.92,0.08
"CITIBANK, N.A.",66000,99.96,0.04
Mr. Cooper Group Inc.,12936,99.96,0.04
Ocwen Financial Corporation,11991,99.96,0.04
"Early Warning Services, LLC",23693,99.97,0.03
CAPITAL ONE FINANCIAL CORPORATION,70529,99.98,0.02
UNITED SERVICES AUTOMOBILE ASSOCIATION,11067,99.98,0.02
JPMORGAN CHASE & CO.,92441,99.99,0.01
"EQUIFAX, INC.",20527,99.99,0.01
"Bread Financial Holdings, Inc.",19421,99.99,0.01
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",19292,99.99,0.01
Experian Information Solutions Inc.,18339,99.99,0.01
TD BANK US HOLDING COMPANY,17843,99.99,0.01
BARCLAYS BANK DELAWARE,13113,99.99,0.01
ALLY FINANCIAL INC.,11837,99.99,0.01
"CITIZENS FINANCIAL GROUP, INC.",10556,99.99,0.01
U.S. BANCORP,27497,100.0,0.0
NAVY FEDERAL CREDIT UNION,27306,100.0,0.0
PNC Bank N.A.,18915,100.0,0.0
DISCOVER BANK,17734,100.0,0.0
