company_grouped,No,Yes
ALLY FINANCIAL INC.,166.43997759550422,11670.560022404496
AMERICAN EXPRESS COMPANY,432.1083848515198,30298.89161514848
"BANK OF AMERICA, NATIONAL ASSOCIATION",1196.4217972160397,83891.57820278396
BARCLAYS BANK DELAWARE,184.3818050358914,12928.618194964109
"Block, Inc.",830.6109957355432,58241.389004264456
"Bread Financial Holdings, Inc.",273.07855072081503,19147.921449279183
CAPITAL ONE FINANCIAL CORPORATION,991.7077958801484,69537.29220411985
"CITIBANK, N.A.",928.0255572614072,65071.974442738596
"CITIZENS FINANCIAL GROUP, INC.",148.4278451886578,10407.572154811342
Chime Financial Inc,265.93556612856054,18647.06443387144
DISCOVER BANK,249.35765503748175,17484.642344962518
"EQUIFAX, INC.",288.6300093015895,20238.36999069841
"Early Warning Services, LLC",333.1471140635534,23359.852885936445
Experian Information Solutions Inc.,257.86455597904467,18081.135444020954
GOLDMAN SACHS BANK USA,157.38469791555957,11035.615302084441
JPMORGAN CHASE & CO.,1299.8122808909357,91141.18771910906
Mr. Cooper Group Inc.,181.89300922323582,12754.106990776765
NAVY FEDERAL CREDIT UNION,383.9494828269695,26922.05051717303
Ocwen Financial Corporation,168.6053705624475,11822.394629437553
Other,5427.079397871417,380539.9206021286
PNC Bank N.A.,265.96368811514424,18649.036311884855
"Paypal Holdings, Inc",402.1444081466098,28197.85559185339
"SELECT PORTFOLIO SERVICING, INC.",128.51747868741307,9011.482521312588
SYNCHRONY FINANCIAL,471.5072880552541,33061.492711944746
"Shellpoint Partners, LLC",189.9640193727517,13320.035980627248
TD BANK US HOLDING COMPANY,250.89030330629225,17592.109696693708
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",271.2646825861677,19020.735317413833
TRUIST FINANCIAL CORPORATION,212.15226678727444,14875.847733212726
U.S. BANCORP,386.63513254571086,27110.36486745429
UNITED SERVICES AUTOMOBILE ASSOCIATION,155.6130127607878,10911.386987239212
WELLS FARGO & COMPANY,1225.4858703502719,85929.51412964973
