company_grouped,No,Yes
ALLY FINANCIAL INC.,1,11836
AMERICAN EXPRESS COMPANY,70,30661
"BANK OF AMERICA, NATIONAL ASSOCIATION",1991,83097
BARCLAYS BANK DELAWARE,1,13112
"Block, Inc.",882,58190
"Bread Financial Holdings, Inc.",2,19419
CAPITAL ONE FINANCIAL CORPORATION,13,70516
"CITIBANK, N.A.",24,65976
"CITIZENS FINANCIAL GROUP, INC.",1,10555
Chime Financial Inc,30,18883
DISCOVER BANK,0,17734
"EQUIFAX, INC.",3,20524
"Early Warning Services, LLC",6,23687
Experian Information Solutions Inc.,1,18338
GOLDMAN SACHS BANK USA,18,11175
JPMORGAN CHASE & CO.,8,92433
Mr. Cooper Group Inc.,5,12931
NAVY FEDERAL CREDIT UNION,1,27305
Ocwen Financial Corporation,5,11986
Other,12952,373015
PNC Bank N.A.,0,18915
"Paypal Holdings, Inc",22,28578
"SELECT PORTFOLIO SERVICING, INC.",27,9113
SYNCHRONY FINANCIAL,32,33501
"Shellpoint Partners, LLC",101,13409
TD BANK US HOLDING COMPANY,1,17842
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",1,19291
TRUIST FINANCIAL CORPORATION,208,14880
U.S. BANCORP,0,27497
UNITED SERVICES AUTOMOBILE ASSOCIATION,2,11065
WELLS FARGO & COMPANY,1717,85438
