company_grouped,No,Yes
ALLY FINANCIAL INC.,0.01,99.99
AMERICAN EXPRESS COMPANY,0.23,99.77
"BANK OF AMERICA, NATIONAL ASSOCIATION",2.34,97.66
BARCLAYS BANK DELAWARE,0.01,99.99
"Block, Inc.",1.49,98.51
"Bread Financial Holdings, Inc.",0.01,99.99
CAPITAL ONE FINANCIAL CORPORATION,0.02,99.98
"CITIBANK, N.A.",0.04,99.96
"CITIZENS FINANCIAL GROUP, INC.",0.01,99.99
Chime Financial Inc,0.16,99.84
DISCOVER BANK,0.0,100.0
"EQUIFAX, INC.",0.01,99.99
"Early Warning Services, LLC",0.03,99.97
Experian Information Solutions Inc.,0.01,99.99
GOLDMAN SACHS BANK USA,0.16,99.84
JPMORGAN CHASE & CO.,0.01,99.99
Mr. Cooper Group Inc.,0.04,99.96
NAVY FEDERAL CREDIT UNION,0.0,100.0
Ocwen Financial Corporation,0.04,99.96
Other,3.36,96.64
PNC Bank N.A.,0.0,100.0
"Paypal Holdings, Inc",0.08,99.92
"SELECT PORTFOLIO SERVICING, INC.",0.3,99.7
SYNCHRONY FINANCIAL,0.1,99.9
"Shellpoint Partners, LLC",0.75,99.25
TD BANK US HOLDING COMPANY,0.01,99.99
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",0.01,99.99
TRUIST FINANCIAL CORPORATION,1.38,98.62
U.S. BANCORP,0.0,100.0
UNITED SERVICES AUTOMOBILE ASSOCIATION,0.02,99.98
WELLS FARGO & COMPANY,1.97,98.03
