company_grouped,No,Yes
ALLY FINANCIAL INC.,-12.824,1.531
AMERICAN EXPRESS COMPANY,-17.42,2.08
"BANK OF AMERICA, NATIONAL ASSOCIATION",22.972,-2.743
BARCLAYS BANK DELAWARE,-13.505,1.613
"Block, Inc.",1.783,-0.213
"Bread Financial Holdings, Inc.",-16.404,1.959
CAPITAL ONE FINANCIAL CORPORATION,-31.079,3.711
"CITIBANK, N.A.",-29.676,3.544
"CITIZENS FINANCIAL GROUP, INC.",-12.101,1.445
Chime Financial Inc,-14.468,1.728
DISCOVER BANK,-15.791,1.886
"EQUIFAX, INC.",-16.813,2.008
"Early Warning Services, LLC",-17.924,2.14
Experian Information Solutions Inc.,-15.996,1.91
GOLDMAN SACHS BANK USA,-11.111,1.327
JPMORGAN CHASE & CO.,-35.831,4.279
Mr. Cooper Group Inc.,-13.116,1.566
NAVY FEDERAL CREDIT UNION,-19.544,2.334
Ocwen Financial Corporation,-12.6,1.505
Other,102.145,-12.198
PNC Bank N.A.,-16.308,1.948
"Paypal Holdings, Inc",-18.956,2.264
"SELECT PORTFOLIO SERVICING, INC.",-8.955,1.069
SYNCHRONY FINANCIAL,-20.241,2.417
"Shellpoint Partners, LLC",-6.455,0.771
TD BANK US HOLDING COMPANY,-15.776,1.884
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",-16.409,1.96
TRUIST FINANCIAL CORPORATION,-0.285,0.034
U.S. BANCORP,-19.663,2.348
UNITED SERVICES AUTOMOBILE ASSOCIATION,-12.314,1.471
WELLS FARGO & COMPANY,14.04,-1.677
