company_grouped,timely_response,standardized_residual
Other,No,102.145
JPMORGAN CHASE & CO.,No,-35.831
CAPITAL ONE FINANCIAL CORPORATION,No,-31.079
"CITIBANK, N.A.",No,-29.676
"BANK OF AMERICA, NATIONAL ASSOCIATION",No,22.972
SYNCHRONY FINANCIAL,No,-20.241
U.S. BANCORP,No,-19.663
NAVY FEDERAL CREDIT UNION,No,-19.544
"Paypal Holdings, Inc",No,-18.956
"Early Warning Services, LLC",No,-17.924
AMERICAN EXPRESS COMPANY,No,-17.42
"EQUIFAX, INC.",No,-16.813
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",No,-16.409
"Bread Financial Holdings, Inc.",No,-16.404
PNC Bank N.A.,No,-16.308
Experian Information Solutions Inc.,No,-15.996
DISCOVER BANK,No,-15.791
TD BANK US HOLDING COMPANY,No,-15.776
Chime Financial Inc,No,-14.468
WELLS FARGO & COMPANY,No,14.04
BARCLAYS BANK DELAWARE,No,-13.505
Mr. Cooper Group Inc.,No,-13.116
ALLY FINANCIAL INC.,No,-12.824
Ocwen Financial Corporation,No,-12.6
UNITED SERVICES AUTOMOBILE ASSOCIATION,No,-12.314
Other,Yes,-12.198
"CITIZENS FINANCIAL GROUP, INC.",No,-12.101
GOLDMAN SACHS BANK USA,No,-11.111
"SELECT PORTFOLIO SERVICING, INC.",No,-8.955
"Shellpoint Partners, LLC",No,-6.455
JPMORGAN CHASE & CO.,Yes,4.279
CAPITAL ONE FINANCIAL CORPORATION,Yes,3.711
"CITIBANK, N.A.",Yes,3.544
"BANK OF AMERICA, NATIONAL ASSOCIATION",Yes,-2.743
SYNCHRONY FINANCIAL,Yes,2.417
U.S. BANCORP,Yes,2.348
NAVY FEDERAL CREDIT UNION,Yes,2.334
"Paypal Holdings, Inc",Yes,2.264
"Early Warning Services, LLC",Yes,2.14
AMERICAN EXPRESS COMPANY,Yes,2.08
"EQUIFAX, INC.",Yes,2.008
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Yes,1.96
"Bread Financial Holdings, Inc.",Yes,1.959
PNC Bank N.A.,Yes,1.948
Experian Information Solutions Inc.,Yes,1.91
DISCOVER BANK,Yes,1.886
TD BANK US HOLDING COMPANY,Yes,1.884
"Block, Inc.",No,1.783
Chime Financial Inc,Yes,1.728
WELLS FARGO & COMPANY,Yes,-1.677
BARCLAYS BANK DELAWARE,Yes,1.613
Mr. Cooper Group Inc.,Yes,1.566
ALLY FINANCIAL INC.,Yes,1.531
Ocwen Financial Corporation,Yes,1.505
UNITED SERVICES AUTOMOBILE ASSOCIATION,Yes,1.471
"CITIZENS FINANCIAL GROUP, INC.",Yes,1.445
GOLDMAN SACHS BANK USA,Yes,1.327
"SELECT PORTFOLIO SERVICING, INC.",Yes,1.069
"Shellpoint Partners, LLC",Yes,0.771
TRUIST FINANCIAL CORPORATION,No,-0.285
"Block, Inc.",Yes,-0.213
TRUIST FINANCIAL CORPORATION,Yes,0.034
