state_grouped,total_records,timely_rate,non_timely_rate
TN,20495,98.19,1.81
GA,62588,98.22,1.78
WA,23168,98.29,1.71
AL,15220,98.29,1.71
CO,19919,98.3,1.7
Other,116462,98.32,1.68
SC,19647,98.32,1.68
KY,8359,98.37,1.63
CA,172756,98.47,1.53
NV,17594,98.48,1.52
MS,8600,98.53,1.47
NC,38311,98.55,1.45
OR,12004,98.55,1.45
VA,38033,98.58,1.42
MD,34570,98.59,1.41
AZ,27330,98.59,1.41
FL,118868,98.63,1.37
MO,15774,98.65,1.35
NJ,46891,98.67,1.33
IN,15584,98.67,1.33
TX,114626,98.7,1.3
WI,12611,98.7,1.3
MA,25002,98.72,1.28
CT,15637,98.72,1.28
MN,13621,98.73,1.27
PA,47376,98.82,1.18
MI,29777,98.82,1.18
LA,15632,98.82,1.18
OH,35280,98.83,1.17
IL,55818,98.92,1.08
NY,91474,99.01,0.99
