state_grouped,No,Yes
AL,214.00831790179726,15005.991682098203
AZ,384.28694666597363,26945.713053334028
CA,2429.120957125025,170326.87904287496
CO,280.0809253801511,19638.919074619847
CT,219.87175210449433,15417.128247895505
FL,1671.4021506143781,117196.59784938562
GA,880.0494481496509,61707.95055185035
IL,784.8565235638974,55033.143476436104
IN,219.12651946002683,15364.873480539973
KY,117.53584292648641,8241.464157073513
LA,219.80144713803512,15412.198552861964
MA,351.55295428257125,24650.44704571743
MD,486.08853809889166,34083.91146190111
MI,418.6941972511049,29358.305802748895
MN,191.52478962814587,13429.475210371855
MO,221.79810818547634,15552.201891814524
MS,120.92454230981973,8479.07545769018
NC,538.6907140036632,37772.309285996336
NJ,659.3340364476462,46231.665963552354
NV,247.38911597662423,17346.610884023376
NY,1286.2153003777269,90187.78469962228
OH,496.0718433360977,34783.928156663904
OR,168.7881634752414,11835.211836524759
Other,1637.5714007542124,114824.42859924579
PA,666.1536181941883,46709.84638180581
SC,276.2563352047707,19370.74366479523
TN,288.18005751625066,20206.819942483748
TX,1611.755417070395,113014.2445829296
VA,534.7817578685318,37498.218242131465
WA,325.76509258533764,22842.234907414662
WI,177.32318640338798,12433.676813596612
