state_grouped,No,Yes
AL,3.144,-0.375
AZ,0.036,-0.004
CA,4.502,-0.538
CO,3.461,-0.413
CT,-1.34,0.16
FL,-1.062,0.127
GA,7.853,-0.938
IL,-6.563,0.784
IN,-0.819,0.098
KY,1.703,-0.203
LA,-2.347,0.28
MA,-1.63,0.195
MD,-0.004,0.0
MI,-3.357,0.401
MN,-1.339,0.16
MO,-0.591,0.071
MS,0.462,-0.055
NC,0.703,-0.084
NJ,-1.337,0.16
NV,1.31,-0.156
NY,-10.546,1.259
OH,-3.685,0.44
OR,0.401,-0.048
Other,7.844,-0.937
PA,-4.152,0.496
SC,3.294,-0.393
TN,4.879,-0.583
TX,-2.983,0.356
VA,0.182,-0.022
WA,3.947,-0.471
WI,-1.001,0.119
