state_grouped,timely_response,standardized_residual
NY,No,-10.546
GA,No,7.853
Other,No,7.844
IL,No,-6.563
TN,No,4.879
CA,No,4.502
PA,No,-4.152
WA,No,3.947
OH,No,-3.685
CO,No,3.461
MI,No,-3.357
SC,No,3.294
AL,No,3.144
TX,No,-2.983
LA,No,-2.347
KY,No,1.703
MA,No,-1.63
CT,No,-1.34
MN,No,-1.339
NJ,No,-1.337
NV,No,1.31
NY,Yes,1.259
FL,No,-1.062
WI,No,-1.001
GA,Yes,-0.938
Other,Yes,-0.937
IN,No,-0.819
IL,Yes,0.784
NC,No,0.703
MO,No,-0.591
TN,Yes,-0.583
CA,Yes,-0.538
PA,Yes,0.496
WA,Yes,-0.471
MS,No,0.462
OH,Yes,0.44
CO,Yes,-0.413
OR,No,0.401
MI,Yes,0.401
SC,Yes,-0.393
AL,Yes,-0.375
TX,Yes,0.356
LA,Yes,0.28
KY,Yes,-0.203
MA,Yes,0.195
VA,No,0.182
MN,Yes,0.16
CT,Yes,0.16
NJ,Yes,0.16
NV,Yes,-0.156
FL,Yes,0.127
WI,Yes,0.119
IN,Yes,0.098
NC,Yes,-0.084
MO,Yes,0.071
MS,Yes,-0.055
OR,Yes,-0.048
AZ,No,0.036
VA,Yes,-0.022
MD,No,-0.004
AZ,Yes,-0.004
MD,Yes,0.0
